No,Name,PTI-IND,PPP,Total Votes,Filename
113,"Usman Memorial Academy (Old Iqra Usmania Islamic Academy, Hingorabad)",143,184,,
114,Minhaj Grammar School Shah Abdul Latif bhitai road.,212,453,,
115,GBPS muhammad ali johar campus ahmed shah bukhari road.,287,581,,
116,Vocational training center ahmed shah bukhari road.,447,526,,
117,Nusrat bhutto college niazi chowk.,294,285,,
118,Nusrat bhutto college niazi chowk.,291,255,,
119,GBSS izzat khan (sm) niazi chowk.,555,258,,
120,GBSS izzat khan (sm) niazi chowk.,215,251,,
121,Al-hamd grammar school street no.1.,458,85,,
122,Al-Haram islamic modern school street no.4 Daryabad.,447,99,,
123,"DMC Girls Boys 9/10 fida hussain shekha road,",166,296,,
124,Al-shehbaz children acadeny.,319,196,,
125,Al-Haram islamic modern school street no.4 Daryabad.,335,138,,
126,Prime rose grammar school shah waliullah road liaqat colony.,244,162,,
127,Iqra-tul-atfal shah waliullah road liaqat colony gali no.3,307,197,,
128,Afshan public school liaqat colony shah walilullah road.,262,108,,
129,KMA girls boys primary school street no.1 liaqat colony.,221,123,,
130,"Fisherman Lara Jamat Khana Hall, Tayab Ali Alvi Road.",61,224,,
131,GBHS Haji Abdullah Haroon road.,105,195,,
132,Karachia Hal.,160,194,,
133,Life saving institute of nursing maripur road.,157,262,,
134,Abdul sattar ghata memorial college tayab ali alvi road.,211,128,,
135,Lady nusrat haroon school.,233,126,,
136,Mazhar-ul-uloom GBSS yaqoob shera road.,212,165,,
137,GBSS yaqoob shera road.,178,136,,
138,Haji Abdullah Haroon College.,105,119,,
139,GBSS kara bai kareem jee campus.,291,113,,
140,GBSS kara bai kareem jee campus.,309,184,,
141,Ever green schooling system street no.1 madina masjid road.,257,232,,
142,Iqra fatima-tu-zuhra madarsa street no.1 madina masjid road.,191,83,,
143,National star public school fida hussain sheikha road.,213,122,,
144,National star public school fida hussain sheikha road.,203,269,,
145,Turk academy (old world learning grammar school street no.5 block b),192,129,,
146,Paradise / Akbar Shaheed English School Gali no 7-A,180,311,,
