No,Name,PTI-IND,JIP,MQM-P,PPP,Total Votes,Filename
171,Govt. Polytechnic lnstitute Block-N North Nazimabad,213,123,43,3,,
172,Syed Ahmed Shaheed KMC Private School Block-N North Nazimabad,315,93,68,6,,
173,Syed Ahmed Shaheed KMC Private School Block-N North Nazimabad,383,201,75,7,,
174,Syed Ahmed Shaheed KMC Private School Block-N North Nazimabad,357,138,26,2,,
175,Syed Ahmed Shaheed KMC Private School Block-N North Nazimabad,411,140,54,8,,
176,Karachi Elementary School Block-M North Nazimbad,275,138,35,0,,
177,Karachi Elementary School Block-M North Nazimbad,278,146,34,9,,
179,lbrahim Ali Bahi GBSS Block- l North Nazimabad,337,116,25,16,,
180,lbrahim Ali Bahi GBSS Block- l North Nazimabad,538,291,40,10,,
181,lbrahim Ali Bahi GBSS Block- l North Nazimabad,412,177,52,8,,
182,Durrani GBSS Block-1 North Nazimabad,457,246,42,8,,
183,Durrani GBSS Block-1 North Nazimabad,410,212,49,11,,
184,Durrani GBSS Block-1 North Nazimabad,427,180,23,3,,
185,Govt.Degree college Block-K North Nazimabad,439,214,45,8,,
189,Sirjuddaullah KMC primary School Block J North Nazimabad,325,139,45,9,,
191,Sirjuddaullah KMC primary School Block J North Nazimabad,439,214,45,8,,
192,Govt.Boys & Girls Pry School near Sirajuddolah Primary School Block-J North Nazimabad.,455,230,78,9,,
195,Shipowner Govt college North Nazimabad,191,111,48,35,,
196,Shipowner Govt college North Nazimabad,381,171,45,24,,
197,Shipowner Govt college North Nazimabad,401,178,46,15,,
198,Shipowner Govt college North Nazimabad,225,89,41,77,,
199,Shipowner Govt college North Nazimabad,272,109,74,29,,
200,Shipowner Govt college North Nazimabad,364,110,75,53,,
201,"White House Grammer School (Old Atta public School) at C-6 Block-T
North Nazimabad",407,226,34,24,,
202,"White House Grammer School (Old Atta public School) at C-6 Block-T
North Nazimabad",405,177,39,12,,
203,"White House Grammer School (Old Atta public School) at C-6 Block-T
North Nazimabad",314,93,24,50,,
