No,Name,PTI-IND,PML-N,PPP,Total Votes,Filename
1,- گورنمنٹ بوائز ایلیمنٹری سکول ، کھمبا ، لاہور (مشترکہ) -I,514,205,12,,
2,- گورنمنٹ گرلز ایلیمنٹری سکول کھمبا پنڈ لاہور (مرد) (مرد) -I,407,140,2,,
3,- گورنمنٹ گرلز ایلیمنٹری سکول کھمبا پنڈ لاہور (عورت) (عورت) -I,404,97,1,,
4,- گورنمنٹ بوائز ایلیمنٹری سکول ، کھمبا ، لاہور (مشترکہ) -II,448,128,8,,
5,5 - گورنمنٹ بوائز ایلیمنٹری سکول ، کھمبا ، لاہور (مرد),598,230,5,,
6,6 - گورنمنٹ گرلز ایلیمنٹری سکول کھمبا پنڈ لاہور (عورت) -II,543,126,6,,
7,7 - گورنمنٹ بوائز ایلیمنٹری سکول ، کھمبا ، لاہور (مشترکہ) -III,171,301,20,,
8,8 - گورنمنٹ بوائز ایلیمنٹری سکول ، کھمبا ، لاہور (مشترکہ) -IV,823,251,7,,
9,9 - مین بولیورڈ پی آئی اے ہاؤسنگ سوسائٹی۔،نزد حکیم چوک ، لاہور (مرد) - اے-1 ، 37I1امریکن لیسیٹف,345,176,13,,
10,10 - گورنمنٹ گرلز ایلیمنٹری سکول کھمبا پنڈ لاہور (عورت) (عورت) -III,326,95,16,,
11,11 - پرائیڈ پبلک ہائی سکول ، بوائز کیمپس سلطان ٹاؤن ، لاہور (مشترکہ) -I,449,272,53,,
12,12 - دی کیتھڈرل سکول شیر علی روڈ نزد نادرہ ہیڈ آفس`/`ایکسپو سینٹر (مشترکہ) -I,257,237,26,,
13,13-دی پنجاب سکول بلاک-کے جوہر ٹاؤن لاہور (مشترکہ) -I,270,223,99,,
14,14-دی پنجاب سکول بلاک-کے جوہر ٹاؤن لاہور (مشترکہ) -II,337,235,58,,
15,15 - دی پنجاب سکول ، علی ٹاؤن ، لاہور (مرد) -I,289,181,23,,
16,16 - دی پنجاب سکول ، علی ٹاؤن ، لاہور (عورت) -I,306,133,36,,
17,17 - پرائیڈ پبلک ہائی سکول ، بوائز کیمپس سلطان ٹاؤن ، لاہور (مرد) -I,436,183,4,,
18,18 - پرائیڈ پبلک ہائی سکول ، بوائز کیمپس سلطان ٹاؤن ، لاہور (عورت) -I,439,113,5,,
19,سٹی گرائمر سکول راوی کیمپس بلاک - ایچ -III جوہر ٹاؤن ، لاہور - 1 (مرد),439,207,4,,
