No,Name,PTI-IND,PML-N,PPP,Total Votes,Filename
20,سٹی گرائمر سکول راوی کیمپس بلاک ایچ III جوہر ٹاؤن لاہور عورت-I,460,129,4,,
21,یونیک سکول سسٹم `&` سائنس اکیڈمی ، 300سی مین بلیورڈ پی آئی اے روڈ ، لاہور (مشترکہ),415,239,9,,
22,امریکن لیسیٹف ، 37 -اے-1 مین بولیورڈ ، حکیم چوک ، لاہور پی آئی اے ہاؤسنگ سوسائٹی۔ (مرد) -II,463,168,7,,
23,23-واپڈا پبلک گرلز ہائی سکول J-I واپڈا ٹاؤن ، لاہور (عورت) -I,418,78,6,,
24,24 - گورنمنٹ گرلز پرائمری سکول ، کچی کوٹھی ، علی گڑھ ، لاہور۔ (مشترکہ) -I,321,117,3,,
25,25 - گورنمنٹ ماڈل گرلز ہائی سکول کینال ویو لاہور (مرد) -II,470,186,9,,
26,26 - گورنمنٹ ماڈل گرلز ہائی سکول کینال ویو لاہور (عورت) -II,0,0,0,,
27,27-ارقم سکول ، I-ایچ-I ، جوہر ٹاؤن ، لاہور (اولڈ نام) `/` آئی پی سی ڈی سکول 1-ایچ-1 جوہر ٹاؤن لاہور (نیو نیم )) (مشترکہ) -I,370,123,10,,
28,28 - ٹیک ہاؤسنگ سوسائٹی کینال روڈ لاہور (مشترکہ) -Iآفس آف دی,409,124,10,,
29,29 - سٹی گرائمر سکول راوی کیمپس بلاک ایچ -III جوہر ٹاؤن ، لاہور۔ مشترکہ I,302,106,6,,
30,30-کپس سکول 75-E-I ، میاں روڈ واپڈا ٹاؤن ، لاہور (پرمننٹ) (مرد) -I,396,124,3,,
31,31 - امریکن لیسٹف ، جونئیر اور اپر سکول محافظ ٹاؤن ، کینال روڈ ، لاہور۔ (عورت),196,66,3,,
32,32 - سٹی گرائمر سکول راوی کیمپس بلاک ایچ -III جوہر ٹاؤن ، لاہور۔ (مشترکہ) -II,406,101,5,,
33,33 - جوہر پبلک سکول ، جی بلاک ، جوہر ٹاؤن ، لاہور۔ (مرد) -I,303,154,13,,
34,34 - جوہر پبلک سکول ، جی بلاک ، جوہر ٹاؤن ، لاہور۔ (عورت) -I,346,86,7,,
35,35 - گورنمنٹ ماڈل گرلز ہائی سکول کینال ویو لاہور (مشترکہ) -I,146,107,2,,
36,36-کمیونٹی سینٹر پی سی ایس آئی آر فیز II ، لاہور (مشترکہ) -I,0,0,0,,
37,37-کپس سکول 75-E-I ، میاں روڈ واپڈا ٹاؤن ، لاہور (پرمننٹ ) (مشترکہ) -I,265,95,2,,
38,38 - سٹی گرائمر سکول راوی کیمپس بلاک ایچ -III جوہر ٹاؤن ، لاہور۔ (مشترکہ) -III,368,129,11,,
39,39 - سٹی گرائمر سکول راوی کیمپس بلاک ایچ -III جوہر ٹاؤن ، لاہور۔ (مرد) -II,830,295,8,,
40,40 - سٹی گرائمر سکول راوی کیمپس بلاک ایچ -III جوہر ٹاؤن ، لاہور۔ (عورت) -II,357,75,3,,
41,41 - سٹی گرائمر سکول راوی کیمپس بلاک ایچ -III جوہر ٹاؤن ، لاہور۔ (عورت) -III,644,139,7,,
42,42 - ٹیک ہاؤسنگ سوسائٹی کینال روڈ لاہور (مشترکہ) -II آفس آف دئ,490,147,5,,
43,43 - جوہر پبلک سکول ، جی بلاک ، جوہر ٹاؤن ، لاہور۔ (مرد) -I,520,176,7,,
44,44 - آفس آف دی ٹیک ہاؤسنگ سوسائٹی کینال روڈ لاہور کا دفتر (عورت),531,110,5,,
45,45 - گورنمنٹ بوائز ایلیمنٹری سکول ، کھمبا ، لاہور (مشترکہ) -V,207,92,1,,
46,46 - کپس بوائز سکول پلاٹ نمبر 30-31 آر بلاک جوہر ٹاؤن ، لاہور۔ (مشترکہ) -I,171,44,5,,
47,47 - ایل ڈی اے کمپلیکس `/` آٖفیسرز ، جوہر ٹاؤن ، لاہور۔ (مرد) -I,0,0,0,,
48,48 - ایل ڈی اے کمپلیکس `/` آفیسرز ، جوہر ٹاؤن ، لاہور۔ (عورت) -II,355,122,2,,
49,49 - امریکن لیسیٹف ، 37 -اے-1 مین بولیورڈ ، نزد حکیم چوک ، لاہور پی آئی اے ہاؤسنگ سوسائٹی۔ (مرد) -III,0,0,0,,
50,50 - امریکن لیسیٹف ، 37 -اے-1 مین بولیورڈ ، حکیم چوک ، لاہور پی آئی اے ہاؤسنگ سوسائٹی۔ (عورت) -I,374,119,8,,
51,51 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ (مرد) -I,162,294,17,,
52,52 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ (عورت) -I,117,55,3,,
53,53 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ (مشترکہ) -I,0,0,0,,
54,54 - گورنمنٹ بوائزپی ایس ، پیر مدرسہ خان پور ، لاہور۔ (مرد) -I,425,171,6,,
55,55 - پنجاب سکول بلاک -کے جوہر ٹاؤن لاہور (عورت),440,90,5,,
56,56 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ (مرد) -II,550,186,5,,
57,57 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ (عورت) -II,0,0,0,,
58,58 - رخسانہ پبلک سکول محافظ ٹاؤن ، لاہور۔ (مرد) -I,463,362,11,,
59,59 - رخسانہ پبلک سکول محافظ ٹاؤن ، لاہور۔ (عورت) -I,320,177,11,,
60,60 - گورنمنٹ گرلز پرائمری سکول سلطان پورہ (مشترکہ) -I,335,144,3,,
61,61 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ مرد III,242,346,26,,
62,62 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ (عورت) -III,134,217,14,,
63,63 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ (مرد) -IV,176,341,49,,
64,64 - گورنمنٹ ہائی سکول شاہ پور کنجرا لاہور۔ (عورت) -IV,67,204,39,,
65,65 - گورنمنٹ گرلز پرائمری سکول سلطان پورہ مرد II,237,245,69,,
66,66 - گورنمنٹ گرلز پرائمری سکول سلطان پورہ (عورت) -I,138,155,76,,
67,67 - گورنمنٹ بوائز پی /ایس، پیر مدرسہ خان پور ، لاہور۔ (مرد) -II,247,251,1,,
68,68 - گورنمنٹ۔ گرلز پرائمری سکول خان پور ، لاہور۔ (عورت) -I,154,185,10,,
69,69 - گورنمنٹ۔ گرلز پرائمری سکول خان پور ، لاہور۔ (مشترکہ) -I,265,267,11,,
70,70 - گورنمنٹ بوائز پی / ایس، کنجرا ، لاہور۔ (مرد) -I,211,289,16,,
71,71 - گورنمنٹ بوائز پی / ایس ، کنجرا ، لاہور۔ (عورت) -I,122,173,11,,
72,72 - گورنمنٹ پرائمری سکول ، کنجرا ، لاہور۔ (مرد) -I,395,350,7,,
73,73 - گورنمنٹ پرائمری سکول ، کنجرا ، لاہور۔ (عورت) -I,249,209,5,,
74,74 - لاہور گرائمر سکول واپڈا ٹاؤن ، لاہور۔ (مشترکہ) -I,295,208,44,,
75,75 - لاہور گرائمر سکول واپڈا ٹاؤن ، لاہور۔ (مشترکہ) -I,638,165,5,,
76,76 - گورنمنٹ بوائز ہائی سکول ، علی رضا آباد ، لاہور۔ (مرد) -I,0,0,0,,
77,77 - گورنمنٹ بوائز ہائی سکول ، علی رضا آباد ، لاہور (عورت) -I,0,0,0,,
78,78 - گورنمنٹ بوائز پرائمری سکول ، طارق اسماعیل روڈ علی رضا آباد ، لاہور۔ (مرد) (مرد) -I,326,205,7,,
79,79 - گورنمنٹ بوائز پرائمری سکول ، طارق اسماعیل روڈ علی رضا آباد ، لاہور۔ (عورت) (عورت) -I,217,127,8,,
80,80 - پیراماؤنٹ انٹرنیشنل سکول ، پنجاب یونیورسٹی امپلائی ہاؤسنگ سوسائٹی ، علی رضا آباد ، لاہور (مرد) -I,510,361,86,,
81,81 - پیراماؤنٹ انٹرنیشنل سکول ، پنجاب یونیورسٹی امپلائی ہاؤسنگ سوسائٹی ، علی رضا آباد ، لاہور (عورت) -I,375,226,74,,
82,82 - گورنمنٹ بوائز پرائمری سکول ، کچی کھوٹی ، لاہور۔ (مشترکہ) -I,465,320,51,,
83,83 - گورنمنٹ بوائز ہائی سکول ، علی رضا آباد ، لاہور۔ (مرد) -II,421,258,54,,
84,84 - گورنمنٹ بوائز ہائی سکول ، علی رضا آباد ، لاہور۔ (عورت) -I,280,274,61,,
85,85 - گورنمنٹ گرلز پرائمری سکول ، کچی کوٹھی ، علی گڑھ ، لاہور۔ (مرد) -I,448,386,31,,
86,86 - گورنمنٹ گرلز پرائمری سکول ، کچی کوٹھی ، علی گڑھ ، لاہور۔ (عورت) -I,266,236,35,,
87,87 - گورنمنٹ گرلزں ایچ /ایس سکول ، ویلج شادی وال ، ماجھا ، جوہر ٹاؤن ، لاہور۔ (مشترکہ) -II,697,219,11,,
88,یونیک سکول سسٹم اینڈ سائسن اکیڈمی 300 سی مین بلیورد پی ائی اے لاہور (مشترک)88,614,175,6,,
89,89 - گورنمنٹ ڈگری کالج فار وومین مرگزر کالونی ، لاہور (پرمننٹ ) (مرد) -I,300,174,4,,
90,90 - گورنمنٹ ڈگری کالج فار وومین مرگزر کالونی ، لاہور (پرمننٹ ) (عورت) -I,240,95,1,,
91,91 - گورنمنٹ ڈگری کالج فار وومین مارگزر کالونی ، لاہور (پرمننٹ ) (مشترکہ),310,172,7,,
92,92 - لیپ سکول مارگزر کالونی ، لاہور (مرد),395,230,5,,
93,93 - لیپ سکول مارگزر کالونی ، لاہور (عورت),0,0,0,,
94,94 - اقراء روضتہ الاطفال اسلامک سکول ، نیشنل پارک ، لاہور (مشترکہ) -I,337,265,8,,
95,95 - اقراء روضتہ الاطفال اسلامک سکول ، نیشنل پارک ، لاہور (مشترکہ) -II,282,180,4,,
96,96 - ایجوکیٹر بیکن ہاؤس سکول سسٹم کیمپس مرگزر کالونی ، لاہور (مرد) -I,0,0,0,,
97,97 - ایجوکیٹر بیکن ہاؤس سکول سسٹم کیمپس مرگزر کالونی ، لاہور (عورت) -I,0,0,0,,
98,98 - ایجوکیٹر بیکن ہاؤس سکول سسٹم کیمپس مرگزر کالونی ، لاہور (مرد) -II,454,271,5,,
99,99 - ایجوکیٹر بیکن ہاؤس سکول سسٹم کیمپس مرگزر کالونی ، لاہور (عورت) -II,0,0,0,,
100,100 - ایجوکیٹر بیکن ہاؤس سکول سسٹم کیمپس مرگزر کالونی ، لاہور (مرد) -III,324,177,4,,
101,101 - ایجوکیٹر بیکن ہاؤس سکول سسٹم کیمپس مرگزر کالونی ، لاہور (عورت) -III,0,0,0,,
102,سوسائٹی آفس ، گوشا-اباب فیز III ، لاہور (مشترکہ-)102,448,324,20,,
103,103 - ایجوکیشن ہائیٹ سکول ، جیلال پارک ، لاہور (مشترکہ),0,0,0,,
104,104 - مشترکہIII ()فیصل کمپریہنسو سکول ، گھوشا احباب مرحلہ,240,181,11,,
105,105 - اسلامیا ماڈل ہائی سکول فار بوائز ، حبیب پارک ، ملتان روڈ ، لاہور (مرد),411,246,5,,
106,106 - اسلامیا ماڈل ہائی سکول فار بوائز ، حبیب پارک ، ملتان روڈ ، لاہور (عورت),346,174,3,,
107,107 - گورنمنٹ گرلز ہائی سکول ، ہنجروال ، لاہور۔ (پرمننٹ ) (مرد) -I,0,0,0,,
108,108 - گورنمنٹ گرلز ہائی سکول ، ہنجروال ، لاہور۔ (مرد) -II,0,0,0,,
109,109 - گورنمنٹ گرلز ہائی سکول ، ہنجروال ، لاہور۔ (پرمننٹ ) (عورت) -I,0,0,0,,
110,110 - گورنمنٹ ہائی سکول ، ہنجروال ، لاہور۔ (پرمننٹ ) (مرد) -I,560,408,10,,
111,111 - گورنمنٹ ہائی سکول ، ہنجروال ، لاہور۔ (پرمننٹ ) (عورت) -I,381,357,12,,
112,112 - گورنمنٹ ڈگری کالج فار وومین مرگزر کالونی ، لاہور (پرمننٹ ) (مرد) -II,0,0,0,,
113,113 - گورنمنٹ ڈگری کالج فار وومین مرگزر کالونی ، لاہور (پرمننٹ ) (عورت) -II,120,156,3,,
114,114 - گورنمنٹ گرلز ہائی سکول ، نیاز بیگ ، لاہور (پرمننٹ ) (مرد),409,210,8,,
115,115 - گورنمنٹ گرلز ہائی سکول ، نیاز بیگ ، لاہور (پرمننٹ ) (عورت),268,134,15,,
116,116 - گورنمنٹ گرلز ہائی سکول ، نیاز بیگ ، لاہور (پرمننٹ ) (مشترکہ),433,258,13,,
117,117 - گورنمنٹ گرلز ہائی سکول ، نیاز بیگ ، لاہور (پرمننٹ ) (مشترکہ) -I,180,79,0,,
118,118 - گورنمنٹ بوائز ہائی سکول نیاز بیگ ، لاہور۔ (مرد) -I,0,0,0,,
119,119 - گورنمنٹ بوائز ہائی سکول نیاز بیگ ، لاہور۔ (عورت) -I,182,164,17,,
120,120 - گورنمنٹ بوائز ہائی سکول نیاز بیگ ، لاہور۔ (مشترکہ) -I,281,253,11,,
121,121 - گورنمنٹ بوائز ہائی سکول نیاز بیگ ، لاہور۔ (مشترکہ) -II,126,128,7,,
122,122 - گورنمنٹ بوائز ہائی سکول نیاز بیگ ، لاہور۔ (مرد) -II,241,273,4,,
123,123 - گورنمنٹ بوائز ہائی سکول نیاز بیگ ، لاہور۔ (عورت) -II,118,156,10,,
124,124 - گورنمنٹ فار وومین ڈگری کالج ، نیاز بیگ ، لاہور۔ (مرد) -I,353,347,10,,
125,125 - گورنمنٹ فار وومین ڈگری کالج ، نیاز بیگ ، لاہور۔ (عورت) -I,166,184,26,,
126,126 - گورنمنٹ فار وومین ڈگری کالج ، نیاز بیگ ، لاہور۔ (مرد) -II,478,335,12,,
127,127 - گورنمنٹ فار وومین ڈگری کالج ، نیاز بیگ ، لاہور۔ (عورت) -II,341,259,34,,
128,128 - گورنمنٹ فار وومین ڈگری کالج ، نیاز بیگ ، لاہور۔ (مرد) -III,333,227,12,,
129,129 - گورنمنٹ فار وومین ڈگری کالج ، نیاز بیگ ، لاہور۔ (عورت) -III,297,216,7,,
130,130 - گورنمنٹ بوائز P`/`s سلامات پورہ ، نیاز بیگ لاہور۔ (مرد) -I,199,162,8,,
131,131 - گورنمنٹ بوائز پی / ایس نیو احمد آباد نیاز بیگ لاہور۔ (عورت),86,100,6,,
132,132 - گورنمنٹ بوائز پی ۔ ایس سلامات پورہ ، نیاز بیگ لاہور۔ (مرد) -II,169,187,82,,
133,133 - گورنمنٹ بوائز سلامات پی / ایس پورہ ، نیاز بیگ لاہور۔ (عورت),213,283,19,,
134,134 - گورنمنٹ گرلز پرائمری سکول ، نیاز بیگ ، لاہور۔ (مشترکہ),363,331,27,,
135,135 - گورنمنٹ گرلز پرائمری سکول ، نیاز بیگ ، لاہور۔ (مرد),449,275,15,,
136,136 - گورنمنٹ گرلز پرائمری سکول ، نیاز بیگ ، لاہور۔ (عورت),201,133,26,,
137,137 - گورنمنٹ گرلز ہائی سکول ، نیاز بیگ ، لاہور (پرمننٹ ) (مشترکہ) -II,476,150,4,,
138,138 - الائیڈ سکول ، اعظم گارڈن ، لاہور۔ (مشترکہ) -I,415,245,4,,
139,139 - الائیڈ الحماد کیمپس 201 -اسلام بلاک ، اعظم گارڈن ، ملتان روڈ لاہور۔ (مرد),345,218,9,,
140,140 - الائیڈ الحماد کیمپس 201 -اسلام بلاک ، اعظم گارڈن ، ملتان روڈ لاہور۔ (عورت),293,134,6,,
141,141 - لاہور سکول سسٹم ، اعظم گارڈن ، اسلام بلاک ، لاہور۔ (مشترکہ),404,303,7,,
142,142 - گورنمنٹ مڈل سکول وارس کالونی لاہور۔ (مشترکہ),376,309,18,,
143,143 - گورنمنٹ مڈل سکول وارس کالونی لاہور۔ (مرد),533,361,8,,
144,144 - گورنمنٹ مڈل سکول وارس کالونی لاہور۔ (عورت),423,359,8,,
145,145 - زیکاس سکول سسٹم ، سوک سینٹر ، مصطفیٰ ٹاؤن ، لاہور۔ (مشترکہ) -I,304,176,11,,
146,146 - فیڈرل پبلک سروس کمیشن آفس مصطفیٰ ٹاؤن نزد میرج ہال ۔ (مرد),471,343,28,,
147,۔فیڈرل پبلک سروس کمیشن آفس مصطفیٰ ٹاؤن نزد میرج ہال لاہور (عورت)147,381,236,23,,
148,148 - زیکاس سکول سسٹم ، سوک سینٹر ، مصطفیٰ ٹاؤن ، لاہور۔ (مشترکہ) -II,290,177,8,,
149,149 - فیڈرل پبلک سروس کمیشن کے دفتر مصطفیٰ ٹاؤن نزد میرج ہال لاہور۔ (مشترکہ),365,172,6,,
150,150 - گورنمنٹ بوائز پی /ایس ، گوپے رائے ، لاہور۔ (مرد),378,621,22,,
151,151-گورنمنٹ بوائز پی / ایس ، گوپے رائے ، لاہور۔ (عورت),232,357,98,,
152,152 - گورنمنٹ بوائز ہائی سکول اعوان ٹاؤن لاہور۔ (مشترکہ) -I,247,306,11,,
153,153 - گورنمنٹ بوائز ہائی سکول اعوان ٹاؤن لاہور۔ (مشترکہ) -II,242,387,23,,
154,154 - گورنمنٹ بوائز ہائی سکول اعوان ٹاؤن لاہور۔ (مرد) -I,228,217,3,,
155,155 - گورنمنٹ بوائز ہائی سکول اعوان ٹاؤن لاہور۔ (عورت) -I,141,129,11,,
156,156 - گورنمنٹ ماڈل مڈل سکول اعوان ٹاؤن ، لاہور (پرمننٹ ) (مشترکہ) -I,201,274,9,,
157,157 - ارقام سکول ، 16 -پی ، مرگزر کالونی ، لاہور۔ (مشترکہ),294,156,3,,
158,158 - مرگزر پبلک ہائی سکول ، مرگزر کالونی ، لاہور (مرد),584,333,6,,
159,159 - مرگزر پبلک ہائی سکول ، مرگزر کالونی ، لاہور (عورت),508,220,7,,
160,امریکن لیسیٹف سکول ، خیابان قائد کیمپس ، لاہور (مرد),400,285,40,,
161,161 - امریکن لیسیٹف سکول ، خیابان قائد کیمپس ، لاہور (عورت),276,179,60,,
162,162 -پاکستان فاؤنڈیشن گرلز سیکنڈری سکول اتفاق ٹاؤن لاہور مرد 1,450,355,12,,
163,163 -پاکستان فاؤنڈیشن گرلز سیکنڈری سکول اتفاق ٹاؤن لاہور عورت 1,354,258,9,,
164,164 -پاکستان فاؤنڈیشن گرلز سیکنڈری سکول اتفاق ٹاؤن لاہور مرد 2,362,213,5,,
165,165 -پاکستان فاؤنڈیشن گرلز سیکنڈری سکول اتفاق ٹاؤن لاہور عورت 2,283,122,5,,
166,166 - پاکستان فاؤنڈیشن گرلز سیکنڈری سکول اتفاق ٹاؤن ، لاہور (مشترکہ) -I,216,161,6,,
167,167 -پاکستان فاؤنڈیشن گرلز سیکنڈری سکول اتفاق ٹاؤن لاہور مشترکہ 1,170,154,3,,
168,168 - سن بیم ہائی سکول ، احمد ہاؤسنگ لاہور (مرد),370,312,9,,
169,169 - سن بیم ہائی سکول ، احمد ہاؤسنگ لاہور (عورت),293,185,8,,
170,170 - گورنمنٹ ڈگری کالج فار وومین ، نیاز بیگ ، لاہور۔ (مرد) -IV,0,0,0,,
171,171 - گورنمنٹ ڈگری کالج فار وومین ، نیاز بیگ ، لاہور۔ (عورت) -IV,226,123,9,,
172,172 - دی نالج سکول ، اتفاق ٹاؤن ، لاہور (مرد),0,0,0,,
173,173 - دی نالج سکول ، اتفاق ٹاؤن ، لاہور (عورت),0,0,0,,
174,174 - اقراء سکول اعظم گارڈن لاہور (مرد),361,232,3,,
175,175 - اقراء سکول اعظم گارڈن لاہور (عورت),254,138,5,,
176,176 - گورنمنٹ گرلز پرائمری سکول ، گوپے رائے ، لاہور (مشترکہ),0,0,0,,
177,177 - یونیک گرلز ہائی سکول اور سائنس اکیڈمی 20 آر بلاک شاہ عالم روڈ ، جوہر ٹاؤن ، لاہور۔ (مرد) -I,301,468,5,,
178,178 - یونیک گرلز ہائی سکول اور سائنس اکیڈمی 20 آر بلاک شاہ عالم روڈ ، جوہر ٹاؤن ، لاہور۔ (عورت) -I,231,258,7,,
179,179 - گورنمنٹ بوائز پرائمری سکول ، کچی کوٹھی ، لاہور (مرد) -I,194,91,4,,
180,180 - سقارا ہائی سکول فار بوائز اویس کالون ، لاہور (عورت) -I,0,0,0,,
181,181 - لاہور گرائمر سکول واپڈا ٹاؤن ، لاہور۔ (مشترکہ) -I,0,0,0,,
182,182 - لاہور گرائمر سکول واپڈا ٹاؤن ، لاہور۔ (مرد) -III,608,263,3,,
183,183-بیکنز ہاؤس سکول سسٹم ، 29-30 ، بی بلاک والنسیا ٹاؤن ، لاہور (عورت) -I,0,0,0,,
184,184 - گورنمنٹ گلز پی ۔ ایس سکول ، ویلج شادی وال ، ماجھا ، جوہر ٹاؤن ، لاہور۔ (مشترکہ) -II,535,167,7,,
185,185 - امریکن لیسٹف سکول ، پی آئی اے ہاؤسنگ سوسائٹی ، لاہور۔ (مشترکہ) -I,834,291,15,,
186,186-M-2 گرائمر سکول اللہ بخش روڈ بٹ چوک ، لاہور (مرد) -I,513,267,3,,
187,187-M-2 گرائمر سکول اللہ بخش روڈ بٹ چوک ، لاہور (عورت) -I,381,159,8,,
188,188 - گورنمنٹ بوائز ایلیمنٹری سکول ، کھمبا ، لاہور (مرد) -I,546,168,8,,
189,189-واپڈا پبلک گرلز ہائی سکول J-I واپڈا ٹاؤن ، لاہور (عورت) -I,536,117,3,,
190,190-واپڈا پبلک گرلز ہائی سکول واپڈا ٹاؤن ، لاہور (مشترکہ) -I,549,189,16,,
191,191-الائیڈ سکول (ظفر کیمپس) 94-95-سی-II ، پنجاب گورنمنٹ ہاؤسنگ اسکیم ، لاہور (مشترکہ) -I,317,111,3,,
192,192 - فیئر فیلڈ ہائی سکول پی سی ایس آئی آر آفس ہاؤسنگ سوسائٹی لاہور (مرد) -I,438,245,10,,
193,193 - فیئر فیلڈ ہائی سکول پی سی ایس آئی آر آفس ہاؤسنگ سوسائٹی لاہور (عورت) -I,398,141,10,,
194,194-مسبر سکول سی -1 بلاک والنسیا ٹاؤن ، لاہور (مرد) -I,485,207,2,,
195,195 ایم 2 گرائمر سکول اللہ بخش روڈ بٹ چوک ، لاہور (عورت) -1,486,120,2,,
196,196-M-2 گرائمر سکول اللہ بخش روڈ بٹ چوک ، لاہور (مشترکہ) -I,334,106,7,,
197,197 - کپس بوائز سکول پلاٹ نمبر 30-31 آر بلاک جوہر ٹاؤن ، لاہور۔ (مرد) -I,354,110,4,,
198,198 - کپس بوائز سکول پلاٹ نمبر 30-31 آر بلاک جوہر ٹاؤن ، لاہور۔ (عورت) -I,386,87,4,,
199,199 - کپس بوائز سکول پلاٹ نمبر 30-31 آر بلاک جوہر ٹاؤن ، لاہور۔ (مرد) -I,731,231,6,,
200,200 - گورنمنٹ گرلز ایچ /ایس سکول ، ویلج شادی وال ، ماجھا ، جوہر ٹاؤن ، لاہور۔ (عورت) -I,719,130,4,,
201,201 - امریکن لیسٹف سکول ، پی آئی اے ہاؤسنگ سوسائٹی ، لاہور۔ (مشترکہ) -I,603,209,5,,
202,202 - گورنمنٹ گرلز ہائی سکول ستوکاتلا (مشترکہ) -I,417,377,130,,
203,203 - گورنمنٹ گرلز ہائی سکول ستوکاتلا مرد I۔,324,298,66,,
204,204 - گورنمنٹ گرلز ہائی سکول ستوکاتلا فیملی I,0,0,0,,
205,205 - سقارا ہائی سکول فار بوائز کے لئے آویسیا کالونی ، لاہور۔ (مرد) -I,831,244,10,,
206,206 - سقارا ہائی سکول فار بوائز ، لاہور ، لاہور۔ (عورت) -I,826,182,3,,
207,207 - اویسیہ سوسائٹی عزیزیا پرائمری سکول پنجاب گورنمنٹ سوسائٹی (مشترکہ) -I,371,107,1,,
208,208-الائیڈ سکول (ظفر کیمپس) 94-95-سی-II ، پنجاب گورنمنٹ ہاؤسنگ اسکیم ، لاہور (مشترکہ) -I,391,108,4,,
209,209 - گورنمنٹ گرلز ہائی سکول ستوکاتلا (مشترکہ) -I,385,118,6,,
210,210 - ایل ڈی اے کمپلیکس `/` آفیسرز ، جوہر ٹاؤن ، لاہور۔ (مشترکہ) -I,651,239,4,,
211,211 - یونیک گرلز ہائی سکول اور سائنس اکیڈمی 20 آر بلاک شاہ عالم روڈ ، جوہر ٹاؤن ، لاہور۔ (مرد) -I,458,183,7,,
212,212 - فیئر فیلڈ ہائی سکول ، پی سی ایس آئی آر آفس ہاؤسنگ سوسائٹی ، لاہور (عورت) -I,483,123,8,,
213,213 - گورنمنٹ گرلز پی / ایس . سکول ، ویلج شادی وال ، ماجھا ، جوہر ٹاؤن ، لاہور۔ (مشترکہ) -II,465,141,5,,
214,214-مسبر سکول سی -1 بلاک والنسیا ٹاؤن ، لاہور (مرد) -I,346,126,8,,
215,215 - حمزہ فاؤنڈیشن اکیڈمی انپیرڈ چلڈرن جے بلاک جوہر ٹاؤن ، لاہور کی سماعت کے لئے۔ (عورت) -I,342,68,2,,
216,216-مسبر سکول سی-1 بلاک والنسیا ٹاؤن ، لاہور (مرد) -I,330,151,7,,
217,217 - گورنمنٹ گرلز ہائی سکول ستوکاتلا (عورت) -I,348,94,2,,
218,218 - گورنمنٹ گرلز ہائی سکول ستوکاتلا (مرد) -I,829,344,8,,
219,219-کپس سکول -ای-75-I ، میاں روڈ واپڈا ٹاؤن ، لاہور (پرمننٹ ) (عورت) -I,764,155,6,,
220,220-مسبر سکول سی -1 بلاک والنسیا ٹاؤن ، لاہور (مرد) -III,560,229,9,,
