No,Name,PTI-IND,PML-N,PPP,Total Votes,Filename
119,119 - GHSS Qadir pur Raan,282,184,180,,
120,120 - GGDC QP Raan,190,128,108,,
121,121 - GHSS Qadir pur Raan,336,264,172,,
122,122 - GGDC Qadrir pur Raan,241,135,103,,
123,123 - Govt HSS Qadir pur Raan,262,255,83,,
124,124 - Govt GDC QP Raan,162,203,55,,
125,125 - GPS Wasli wala,243,197,237,,
126,126 - Jind wala Qadir pur Raan,262,180,134,,
127,127 - Govt PS Darkhan wala,245,357,305,,
128,128 - Govt ES Gamun wala,226,275,528,,
129,129 - Govt GPS Basti Bahawalpur,147,319,79,,
130,130 - GHS Panj Khua,173,124,779,,
131,131 - Bagh Wala,122,24,17,,
132,132 - 135 Govt F.B High School No 1 Multan Cantt,494,449,104,,
133,"133 - 127,128 Govt F.B Boys School",187,25,10,,
134,134 - 51 Govt Girls High School Lutfabad,410,172,397,,
135,135 - 52 Govt Boys High School Lutfabad,325,257,357,,
136,136 - 53 Govt High School Lutfabad,223,183,336,,
137,137 - 54 Govt Boys High School Lutfabad,234,172,229,,
138,138 - 55 Govt Boys High School Lutfabad,194,255,242,,
139,139 - 10 NFC Opposite Pak Arab Fertilizer,179,95,77,,
140,140 - N.F.C. Institute of Engirneering and Technological Training opposite Khad Factory,237,135,71,,
141,141 - N.F.C. Institute of Engirneering and Technological Training opposite Khad Factory,278,126,89,,
142,142 - 15 NFC I.E.T Multan Male 2,359,198,117,,
143,143 - P.S 12 Govt Girls High School Khaliq Pura,194,93,139,,
144,144 - P.S 18 Govt Girls High School Khaliq Pura,462,242,136,,
145,145 - P.S 14 Govt Girls High School Khaliq Pura,253,106,150,,
146,146 - P.S 13 Govt Girls High School Khaliq Pura,308,177,177,,
147,147 - P.S 11 Govt Girls High School Khaliq Pura,311,167,167,,
148,148 - P.S 129 Govt Girls School Rasool Pur,122,338,386,,
149,149 - P.S 120 Govt High School,274,198,360,,
150,"150 - Government Boys Primary School, Chak Gagra",121,226,335,,
151,151 - P.S 26 Govt Boys Primary School Nawabpur,250,123,412,,
152,152 - P.S 24 Govt Boys High Scool Nawab Pur,298,148,301,,
153,153 - P.S 21 Govt Boys High Scool Nawab Pur,247,201,472,,
154,154 - P.S 19 Veternary Hospital Nawab Pur,151,158,516,,
155,155 - P.S 22 Govt Boys High Scool Nawab Pur,195,214,329,,
156,156 - P.S 25 Govt Boys High Scool Nawab Pur,264,224,408,,
157,157 - P.S 23 Govt Girls Model High Scool Nawab Pur,415,240,560,,
158,158 - P.S 131 Govt Degree College Qadir Pur Rawan,284,222,145,,
159,159 - P.S 203 Govt Al-Hussain Islamia Secondary School Muzafarabad,368,293,226,,
160,160 - Daruhay pur,154,507,387,,
161,161 - Govt high school Nandla PS 112,240,384,421,,
162,162 - Govt GES school Nandla PS 250,143,387,545,,
163,163 -,211,136,137,,
164,164 - Govt Alhussain Islamia School PS 62,304,163,147,,
165,165 - PS 61,168,140,99,,
166,166 - PS 60,251,217,126,,
167,167 - PS 60,202,130,176,,
168,168 - Baho Wala PS 112,601,321,163,,
169,169 - Dehly Wala PS 125,248,222,623,,
170,170 - Govt ES PS 113,463,240,320,,
171,171 - Sadqabad Shak Mdina PS114,175,163,166,,
172,172 - Govt Girls ES PS 116,91,168,149,,
173,173 - Ahmad Pur Bjhuta PS150,543,184,183,,
174,174 - Govt ES Muzafarabd PS 52,122,41,102,,
175,175 - GES Muzafrabd PS 192,433,73,340,,
