No,Name,PTI-IND,PML-N,PPP,Total Votes,Filename
1,1,0,0,0,,
2,2,0,0,0,,
3,3,286,147,8,,
4,4,0,0,0,,
5,5,0,0,0,,
6,6,0,0,0,,
7,7,0,0,0,,
8,8,0,0,0,,
9,9,0,0,0,,
10,10,0,0,0,,
11,11,0,0,0,,
12,12,0,0,0,,
13,13,0,0,0,,
14,14,0,0,0,,
15,15,181,151,0,,
16,16,0,0,0,,
17,17,305,123,1,,
18,18,0,0,0,,
19,19,301,282,14,,
20,20,267,280,6,,
21,21,191,124,2,,
22,22,131,99,6,,
23,23,155,141,10,,
24,24,215,229,31,,
25,25,137,99,11,,
26,26,149,114,26,,
27,27,431,250,18,,
28,28,271,180,8,,
29,29,197,221,8,,
30,30,172,157,13,,
31,31,0,0,0,,
32,32,483,259,189,,
33,33,462,128,28,,
34,34,366,196,131,,
35,35,431,84,16,,
36,36,265,87,11,,
37,37,241,100,22,,
38,38,483,135,18,,
39,39,0,0,0,,
40,40,276,160,21,,
41,41,366,162,10,,
42,42,0,0,0,,
43,43,0,0,0,,
44,44,0,0,0,,
45,45,0,0,0,,
46,46,0,0,0,,
47,47,472,290,21,,
48,48,201,106,10,,
49,49,382,164,12,,
50,50,209,58,3,,
51,51,449,202,28,,
52,52,412,150,16,,
53,53,274,110,17,,
54,54,208,88,15,,
55,55,502,234,26,,
56,56,0,0,0,,
57,57,298,199,12,,
58,58,0,0,0,,
59,59,264,151,20,,
60,60,158,84,9,,
61,61,364,187,25,,
62,62,342,233,42,,
63,63,501,253,54,,
64,64,492,260,68,,
65,65,291,186,52,,
66,66,299,110,9,,
67,67,290,72,5,,
68,68,341,118,5,,
69,69,268,68,1,,
70,70,300,97,5,,
71,71,225,56,0,,
72,72,360,175,6,,
73,73,607,204,14,,
74,74,0,0,0,,
75,75,0,0,0,,
76,76,0,0,0,,
77,77,217,289,8,,
78,78,0,0,0,,
79,79,0,0,0,,
80,80,598,254,25,,
81,81,298,99,8,,
82,82,425,165,18,,
83,83,0,0,0,,
84,84,456,483,12,,
85,85,426,336,15,,
86,86,334,291,10,,
87,87,279,215,5,,
88,88,0,0,0,,
89,89,313,178,7,,
90,90,0,0,0,,
91,91,0,0,0,,
92,92,0,0,0,,
93,93,0,0,0,,
94,94,0,0,0,,
95,95,521,355,20,,
96,96,459,239,13,,
97,97,472,162,9,,
98,98,0,0,0,,
99,99,0,0,0,,
100,100,0,0,0,,
101,101,426,170,7,,
102,102,396,118,2,,
103,103,0,0,0,,
104,104,264,38,1,,
105,105,316,270,12,,
106,106,266,178,12,,
107,107,510,262,11,,
108,108,342,151,3,,
109,109,326,126,12,,
110,110,243,95,13,,
111,111,0,0,0,,
112,112,0,0,0,,
113,113,301,130,26,,
114,114,391,196,9,,
115,115,287,210,1,,
116,116,278,188,8,,
117,117,230,152,1,,
118,118,0,0,0,,
119,119,310,154,6,,
120,120,208,97,4,,
121,121,271,139,9,,
122,122,313,147,12,,
123,123,228,98,5,,
124,124,278,102,8,,
125,125,657,295,32,,
126,126,217,59,5,,
127,127,515,181,18,,
128,128,192,39,4,,
129,129,446,147,22,,
130,130,368,124,7,,
131,131,0,0,0,,
132,132,265,81,5,,
133,133,268,156,20,,
134,134,277,133,10,,
135,135,415,168,6,,
136,136,0,0,0,,
137,137,0,0,0,,
138,138,345,150,11,,
139,139,268,83,7,,
140,140,266,146,4,,
141,141,302,92,0,,
142,142,0,0,0,,
143,143,260,61,9,,
144,144,476,234,106,,
145,145,314,155,41,,
146,146,343,165,7,,
147,147,346,131,12,,
148,148,254,84,6,,
149,149,286,87,1,,
150,150,385,171,4,,
151,151,264,107,6,,
152,152,0,0,0,,
