No,Name,PTI-IND,MQM-P,JIP,PPP,Total Votes,Filename
74,"Student Zone School System, Plot No. B-133 Block-13-D-1 Gulshan-e-Iqbal (Combined)",217,6,27,2,,
75,Peace Academy,478,19,125,9,,
76,Peace Academy,437,24,90,13,,
77,Happy Home Block-13/D/1 Gulshan Iqbal (Combined),228,39,100,53,,
78,Happy Home Block-13/D/1 Gulshan Iqbal (Combined),233,35,123,29,,
79,Happy Home Block-13/D/1 Gulshan Iqbal (Combined),338,78,131,13,,
80,Happy Home Block-13/D/1 Gulshan Iqbal (Combined),280,64,135,26,,
81,"Young Star (SHMEN Stars) Grammar School Plot No. A-177, Block-1 Gulshan-e-Iqbal (Combined)",306,38,70,8,,
82,"Iqra University, Plot No. G-1, Block-2 Gulshan-e-Iqbal (Combined)",668,20,129,15,,
83,"Iqra University, Plot No. G-1, Block-2 Gulshan-e-Iqbal (Combined)",0,0,0,0,,
84,Arqam Public School Plot No.B-179 & 180 Block-2 Gulshan-e-Iqbal,446,0,69,15,,
85,DEBS School System Block-2  Gulshan-e-Iqbal (Combined),350,18,48,7,,
86,"Green Land School, Survey No. 760 Block-2 Gulshan-e-Iqbal (Combined)",0,0,0,0,,
87,"Green Land School, Survey No. 760 Block-2 Gulshan-e-Iqbal (Combined)",0,0,0,0,,
88,DEBS School System Block-2  Gulshan-e-Iqbal (Combined),455,58,79,11,,
89,DEBS School System Block-2  Gulshan-e-Iqbal (Combined),202,22,46,5,,
90,DEBS School System Block-2  Gulshan-e-Iqbal (Combined),532,53,124,23,,
91,"YEN Academy, l  No. D-4/1 Block-13-D/1 Gulshan-e- Iqbal (Combined)",529,18,120,17,,
92,GBPS Block-1 Gulshan-e-Iqbal (Combined),516,37,109,16,,
93,GBPS Block-1 Gulshan-e-Iqbal (Combined),406,17,94,23,,
94,GBPS Block-1 Gulshan-e-Iqbal (Combined),539,49,118,12,,
95,GBPS Block-1 Gulshan-e-Iqbal (Combined),362,36,63,10,,
96,GBPS Block-1 Gulshan-e-Iqbal (Combined),395,45,118,0,,
97,GBPS Block-1 Gulshan-e-Iqbal (Combined),474,33,106,8,,
98,DEWA Academy Block-3 Gulshan-e-Iqbal (Combined),506,47,94,17,,
99,DEWA Academy Block-3 Gulshan-e-Iqbal (Combined),484,47,82,64,,
100,"Ghazi Foundation College Block - 3, Gulshan-e-Iqbal (combined)",261,22,72,8,,
101,"Ghazi Foundation College Block - 3, Gulshan-e-Iqbal (combined)",437,23,76,10,,
102,Foundation Public School Block-3 Gulshan-e-Iqbal (Combined),338,40,79,8,,
103,Foundation Public School Block-3 Gulshan-e-Iqbal (Combined),376,33,90,10,,
104,The Masters Schooling System Plot No.B-48 Block 3 Gulshan-e-Iqbal (Combined),349,22,169,12,,
105,The Masters Schooling System Plot No.B-48 Block 3 Gulshan-e-Iqbal (Combined),702,43,48,17,,
106,GBSS Block-6 Gulshan-e-Iqbal (Combined),252,19,54,274,,
107,GBSS Block-6 Gulshan-e-Iqbal (Combined),348,20,76,15,,
108,GBSS Block-6 Gulshan-e-Iqbal (Combined),0,0,0,0,,
109,GBSS Block-6 Gulshan-e-Iqbal (Combined),349,7,57,12,,
110,GBSS Block-6 Gulshan-e-Iqbal (Combined),624,45,124,27,,
111,GBSS Block-6 Gulshan-e-Iqbal (Combined),457,33,101,23,,
112,Karachi Public School C-60-61 Block-6 Gulshan-e-Iqbal (Combined),365,16,107,24,,
113,Karachi Public School C-60-61 Block-6 Gulshan-e-Iqbal (Combined),459,14,90,42,,
114,Govt: Degree Science & Commerce College Blocks-7 Gulshan-e-Iqbal (Combined),572,40,109,20,,
115,Govt: Degree Science & Commerce College Blocks-7 Gulshan-e-Iqbal (Combined),568,43,118,19,,
116,Govt: Degree Science & Commerce College Blocks-7 Gulshan-e-Iqbal (Combined),300,18,62,14,,
117,The Froebels School Junior Campus 1 Block 7 Gulshan-e-Iqbal (Combined),577,27,107,23,,
118,"City School, Block-7 Gulshan-e-Iqbal (Combined)",292,26,86,12,,
119,"City School, Block-7 Gulshan-e-Iqbal (Combined)",430,40,88,9,,
595,"City School, Block-7 Gulshan-e-Iqbal (Combined)",565,21,97,11,,
121,Zubair Public School Block-4 Gulshan-e- Iqbal (Combined),528,27,111,12,,
122,White House Grammer Block-4 Gulshan-e-Iqbal (Combined),361,6,86,11,,
123,White House Grammer Block-4 Gulshan-e-Iqbal (Combined),0,0,0,0,,
124,Falcon House Grammer School Block-4 Gulshan-e-Iqbal (Combined),340,22,63,8,,
125,Falcon House Grammer School Block-4 Gulshan-e-Iqbal (Combined),439,50,82,6,,
126,Beconhouse School Block-4 Gulshan-e-Iqbal (Combined),434,15,134,19,,
127,Nakhlah Educational House for Islamic Grooming Junior Campus Block-4 Gulshan-e-Iqbal (Combined),218,9,85,4,,
