No,Name,PTI-IND,IND,TLP,PML-N,Total Votes,Filename
73,73 - Government Boys Elementary School 323 JB Tarandi Toba Tek Singh (Male)-I,383,25,20,384,,
74,74 - Government Boys Elementary School 323 JB Tarandi Toba Tek Singh (Female)-I,268,41,7,314,,
75,75 - Government Girls High School 323 JB Tarandi TTSingh (Combined)-I,352,29,35,413,,
76,76 - Government Girls Primary School 323 JB Qayam Pur TTSingh (Combined)-I,254,38,20,115,,
77,77 - Government Boys Primary School 324 JB TTSingh (Male)-I,268,22,41,178,,
78,78 - Government Girls High School 324 JB TTSingh (Female)-I,190,32,26,157,,
79,79 - Government Girls High School North 324 JB TTSingh (Male)-I,160,17,66,119,,
80,80 - Government Girls High School North 324 JB TTSingh Combined-II,420,48,192,455,,
81,81 - Government Girls High School South 324 JB Toba Tek Singh (Female)-I,162,17,4,114,,
82,82 - Government Boys High School 380 JB Toba Tek Singh (Male)-I,260,13,74,312,,
83,83 - Government Girls High School 380 JB TTSingh (Female)-I,180,28,62,215,,
84,84 - Government Boys High School 319 JB Toba Tek Singh (Male)-I,419,21,36,126,,
85,85 - Government Boys High School 319 JB Toba Tek Singh (Combined)-I,357,35,24,133,,
86,86 - Rural Health Centre 319 JB TTSingh Female-II,298,32,23,65,,
87,87 - Government Girls High School 320 JB TTSingh (Male)-I,267,35,60,248,,
88,88 - Government Girls High School 320 JB TTSingh (Female)-I,233,33,36,197,,
89,89 - Government Boys Primary School 376 JB Toba Tek Singh (Combined)-I,161,36,2,301,,
90,90 - Government Girls Elementary School 376 JB Toba Tek Singh (Combined)-I,314,63,17,456,,
91,91 - Government Boys Higher Secondary School 379 JB Kaloya Toba Tek Singh (Combined)-I,197,28,51,229,,
92,92 - Government Girls Higher Secondary School 379 JB Kaloya Toba Tek Singh (Combined)-I,238,54,108,404,,
93,93 - Government Model Primary School 477 JB Toba Tek Singh (Male)-I,210,35,24,403,,
94,94 - Government Model Primary School 477 JB Toba Tek Singh (Female)-I,151,46,18,362,,
95,95 - Government Girls Primary School 382 JB Feroz Toba Tek Singh (Combined)-I,150,11,14,402,,
96,96 - Government Girls Elementary School 382 JB Jalalpur Toba Tek Singh (Combined)-I,185,22,50,322,,
97,97 - Government Girls Elementary School 382 JB Jalalpur Toba Tek Singh (Combined)-II,119,12,14,212,,
98,98 - Government Boys Elementary School 383 JB Toba Tek Singh (Combined)-I,236,12,17,511,,
99,99 - Government Girls Elementary School 383 JB Toba Tek Singh (Combined)-I,202,15,23,639,,
100,100 - Government Model Primary School 384 JB Toba Tek Singh (Combined)-I,351,58,184,409,,
101,101 - Government Boys Elementary School 388 JB Toba Tek Singh (Male)-I,180,21,12,289,,
102,102 - Government Boys Elementary School 388 JB Toba Tek Singh (Male)-II,339,44,24,381,,
103,103 - Government Girls High School 388 JB Toba Tek Singh (Female)-I,281,54,14,274,,
104,104 - Government Girls High School 388 JB Toba Tek Singh (Female)-II,140,30,11,235,,
105,105 - Government Boys Primary School 325 JB Toba Tek Singh (Combined)-I,485,74,20,739,,
106,106 - Government Girls High School 325 JB Toba Tek Singh (Combined)-I,361,49,5,242,,
107,107 - Government Boys Elementary School 381 JB Toba Tek Singh (Male)-I,143,21,27,400,,
108,108 - Government Girls Elementary School 381 JB Toba Tek Singh (Female)-I,143,32,23,320,,
109,109 - Government Boys High School 391 JB Toba Tek Singh (Male)-I,301,61,45,435,,
110,110 - Government Girls Elementary School 391 JB Toba Tek Singh (Female)-I,223,39,25,316,,
111,111 - Government Girls Elementary School 396 JB Toba Tek Singh (Combined)-I,284,74,3,225,,
112,112 - Government Girls Elementary School 397 JB Toba Tek Singh Combined-III,329,84,58,302,,
113,113 - Government Girls Elementary School 397 JB Toba Tek Singh (Combined)-II,289,76,18,131,,
114,114 - Government Model Primary School 398 JB Toba Tek Singh (Combined)-I,223,38,14,232,,
115,115 - Government Girls Primary School 469 JB TTSingh (Combined)-I,190,54,9,498,,
116,116 - Government Model Primary School 390 JB Toba Tek Singh (Combined)-I,264,31,24,215,,
117,117 - Government Boys Primary School 392 JB Chattala Toba Tek Singh (Combined)-I,274,28,21,443,,
118,118 - Government Boys Elementary School 392 JB Ghar Dewali Toba Tek Singh Combined-III,239,27,30,418,,
119,119 - Government Boys Elementary School 392 JB Ghar Dewali Toba Tek Singh (Combined)-II,153,21,13,311,,
120,120 - Government Boys Elementary School 395 JB Toba Tek Singh (Combined)-I,374,51,11,333,,
121,121 - Government Girls Elementary School 395 JB Toba Tek Singh (Combined)-I,180,21,18,210,,
122,122 - Government Boys Elementary School 296 GB Toba Tek Singh (Male)-I,352,54,37,523,,
123,123 - Government Girls High School 296 GB Toba Tek Singh (Female)-I,267,0,19,402,,
124,124 - Government Boys Elementary School 297 GB Toba Tek Singh (Combined)-I,334,55,13,568,,
125,125 - Government Girls High School 297 GB Toba Tek Singh (Combined)-I,302,51,21,611,,
126,126 - Government Boys Elementary School 298 GB Toba Tek Singh (Combined),512,61,33,241,,
127,127 - Government Girls Elementary School 298 GB Toba Tek Singh (Combined)-I,285,43,28,267,,
128,128 - Government Boys Elementary School 299 GB Toba Tek Singh (Combined)-I,426,52,56,312,,
129,129 - Government Boys Elementary School 299 GB Toba Tek Singh (Combined)-II,195,21,63,114,,
130,130 - Government Girls Community Model Primary School 299 GB Toba Tek Singh (Combined)-I,72,24,17,231,,
131,131 - Government Girls Community Model Primary School 299 GB Toba Tek Singh (Combined)-II,169,30,48,180,,
132,132 - Government Boys Primary School 318 GB Toba Tek Singh (Combined)-I,459,41,87,361,,
133,133 - Government Boys Primary School 318 GB Toba Tek Singh (Combined)-II,184,24,100,167,,
134,134 - Government Boys High School 346 GB Toba Tek Singh (Combined)-I,431,90,174,467,,
135,135 - Government Girls Community Model Elementary School 346 GB Toba Tek Singh (Combined)-I,352,26,39,448,,
136,136 - Government Boys Elementary School 347 GB Toba Tek Singh (Combined)-I,405,73,57,489,,
137,137 - Government Boys Elementary School 347 GB Toba Tek Singh (Combined)-II,160,8,53,124,,
138,138 - Government Girls High School 347 GB Toba Tek Singh (Combined)-I,253,48,32,415,,
139,139 - Government Girls Primary School 301 GB Nai Abadi Toba Tek Singh (Combined)-I,269,30,3,286,,
140,140 - Government Girls High School 301 GB Toba Tek Singh (Combined)-I,651,45,13,464,,
141,141 - Government Boys High School 301 GB Toba Tek Singh (Male)-I,250,21,10,286,,
142,142 - Government Girls High School 301 GB Toba Tek Singh (Female)-I,198,23,9,242,,
143,143 - Government Girls High School 302 GB Toba Tek Singh (Combined)-I,584,55,14,300,,
144,144 - Government Girls High School 302 GB Toba Tek Singh Combined-III,398,66,19,396,,
145,145 - Government Model Primary School 345 GB Toba Tek Singh (Male)-I,355,31,24,244,,
146,146 - Government Model Primary School 345 GB Toba Tek Singh (Female),276,33,15,174,,
147,147 - Government Girls Elementary School 303 GB Toba Tek Singh (Combined)-I,365,39,9,211,,
148,148 - Government Girls Elementary School 303 GB Toba Tek Singh (Combined)-II,293,30,12,223,,
149,149 - Government Girls High School No.1 Primary Portion 304 GB Toba Tek Singh (Male)-I,364,45,10,339,,
150,150 - Government Girls High School I Elementary Portion 304 GB TTSingh Female-II,344,58,11,312,,
151,151 - Government Girls High School 305 GB Toba Tek Singh (Combined)-I,467,32,14,529,,
152,152 - Government Girls Elementary School 306 GB Toba Tek Singh (Combined)-I,233,22,3,234,,
153,153 - Government Girls Elementary School 306 GB Toba Tek Singh (Combined)-II,363,47,10,344,,
154,154 - Government Girls High School 314 GB Toba Tek Singh (Combined)-I,297,29,5,212,,
155,155 - Government Girls High School 314 GB Toba Tek Singh (Combined)-II,264,44,2,245,,
156,156 - Government Model Primary School 315 GB Toba Tek Singh (Combined)-I,482,56,19,436,,
157,157 - Government Girls Elementary School 409 JB Toba Tek Singh (Combined)-I,165,17,17,175,,
158,158 - Government Girls Elementary School 409 JB Toba Tek Singh (Combined)-II,308,31,67,331,,
159,159 - Government Boys Primary School 309 GB Toba Tek Singh (Combined)-I,260,24,30,416,,
160,160 - Government Girls High School 309 GB Toba Tek Singh (Combined)-I,187,41,79,220,,
161,161 - Government Girls Elementary School 317 GB Toba Tek Singh (Combined)-I,328,16,30,218,,
162,162 - Government Girls Elementary School 317 GB Toba Tek Singh (Combined)-II,275,28,18,123,,
163,163 - Government Girls Elementary School 344 GB Toba Tek Singh (Female)-I,267,59,4,167,,
164,164 - Government Girls Elementary School 344 GB Toba Tek Singh (Male)-I,351,36,16,168,,
165,165 - Government Model Primary School 310 GB Toba Tek Singh (Combined)-I,337,15,5,301,,
166,166 - Government Boys Primary School 311 GB Toba Tek Singh (Combined)-I,286,44,21,221,,
167,167 - Government Boys Primary School 311 GB Toba Tek Singh (Combined)-II,272,32,2,188,,
168,168 - Government Boys Primary School 316 GB Toba Tek Singh (Male)-I,303,28,9,325,,
169,169 - Government Girls Higher Secondary School 316 GB Toba Tek Singh (Female)-I,317,47,9,264,,
170,170 - Government Model Primary School 407 JB Toba Tek Singh (Combined)-I,578,73,22,302,,
171,171 - Government Girls High School 408 JB Toba Tek Singh (Male)-I,566,35,6,105,,
172,172 - Government Girls High School 408 JB Toba Tek Singh (Female)-I,387,38,0,79,,
