No,Name,PTI-IND,IND,TLP,PML-N,Total Votes,Filename
307,307 - Government Boys Higher Secondary School Toba Road Rajana Toba Tek Singh (Male)-I,304,2,41,221,,
308,308 - Government Boys Higher Secondary School Toba Road Rajana Toba Tek Singh (Female)-I,253,3,20,206,,
309,309 - Government Girls Higher Secondary School Samundri Road Rajana Toba Tek Singh (Male)-I,250,0,40,207,,
310,310 - Government Girls Higher Secondary School Samundri Road Rajana Toba Tek Singh (Female)-II,217,1,25,155,,
311,311 - Government Boys High School 288 GB Toba Tek Singh (Male)-I,595,2,12,281,,
312,312 - Government Girls Elementary School 288 GB Toba Tek Singh (Female)-I,608,2,8,230,,
313,313 - Government Boys Elementary School 289 GB Toba Tek Singh (Male)-I,282,0,96,336,,
314,314 - Government Girls Primary School 289 GB Toba Tek Singh (Female)-I,292,1,53,266,,
315,315 - Government Boys Elementary School 290 GB Toba Tek Singh (Male)-I,600,1,44,326,,
316,316 - Government Girls High School 290 GB Toba Tek Singh (Female)-I,539,0,17,283,,
317,317 - Government Boys High School 148 GB Toba Tek Singh (Combined)-I,307,2,28,245,,
318,318 - Government Girls Higher Secondary School 148 GB Toba Tek Singh (Combined)-I,368,0,15,263,,
319,319 - Government Boys High School 519 GB Toba Tek Singh (Combined)-I,467,2,15,345,,
320,320 - Government Girls High School 519 GB Toba Tek Singh (Combined)-I,478,3,16,280,,
321,321 - Government Boys Primary School 520 GB Toba Tek Singh (Combined)-I,259,1,50,284,,
322,322 - Government Girls High School 520 GB Toba Tek Singh (Combined)-I,412,1,84,223,,
323,323 - Government Boys High School 521 GB Toba Tek Singh (Combined)-I,149,3,13,261,,
324,324 - Government Boys High School 521 GB Toba Tek Singh (Combined)-II,308,4,33,354,,
325,325 - Government Girls High School 521 GB Toba Tek Singh (Combined)-I,393,8,99,362,,
326,326 - Government Boys Elementary School 149 GB Toba Tek Singh (Male)-I,262,0,75,241,,
327,327 - Government Girls Elementary School 149 GB Toba Tek Singh (Female)-I,179,2,40,187,,
328,328 - Government Boys Primary School 150 GB Toba Tek Singh (Male)-I,428,3,131,219,,
329,329 - Government Girls Elementary School 150 GB Toba Tek Singh (Female)-I,369,7,63,190,,
330,330 - Government Girls High School 151 GB TTSingh (Male)-I,265,0,50,387,,
331,331 - Government Girls Junior Primary School 151 GB Toba Tek Singh (Female)-I,320,0,44,298,,
332,332 - Government Boys Primary School 152 GB Toba Tek Singh (Combined)-I,283,2,6,272,,
333,333 - Government Boys Primary School 152 GB Toba Tek Singh (Combined)-II,229,3,10,249,,
334,334 - Government Boys Primary School 153 GB Toba Tek Singh (Combined)-I,317,4,72,289,,
335,335 - Government Girls Elementary School 153 GB Toba Tek Singh (Combined)-I,249,2,83,357,,
336,336 - Government Boys High School 293 GB Toba Tek Singh (Combined)-I,525,9,9,444,,
337,337 - Government Boys High School 293 GB Toba Tek Singh (Male)-I,431,2,6,353,,
338,338 - Government Girls High School 293 GB Toba Tek Singh (Female)-I,379,5,3,326,,
339,339 - Government Girls Community Elementary School 358 GB (Mughali) Toba Tek Singh (Combined)-I,448,2,14,445,,
340,340 - Government Boys Elementary School 358 GB (Ganjoo) Toba Tek Singh (Combined)-I,260,3,11,388,,
341,341 - Government Boys Elementary School 358 GB (Ganjoo) Toba Tek Singh (Combined)-II,190,1,0,307,,
342,342 - Government Boys Elementary School 359 GB Toba Tek Singh (Male)-I,364,5,88,356,,
343,343 - Government Girls Elementary School 359 GB Toba Tek Singh (Female)-I,255,4,40,295,,
344,344 - Government Boys Elementary School 255 GB Toba Tek Singh (Male)-I,336,2,9,255,,
345,345 - Government Boys Elementary School 255 GB Toba Tek Singh (Female)-I,323,3,5,242,,
346,346 - Government Girls Elementary School 255 GB Toba Tek Singh (Combined)-I,546,0,11,527,,
347,347 - Government Girls High School 256 GB Toba Tek Singh (Combined)-I,317,0,63,358,,
348,348 - Government Boys High School 256 GB Toba Tek Singh (Combined)-I,363,1,37,296,,
349,349 - Government Boys High School 256 GB Toba Tek Singh (Combined)-II,115,0,23,267,,
350,350 - Government Girls High School 256 GB Toba Tek Singh (Combined)-II,295,2,23,190,,
351,351 - Government Girls High School 256 GB Toba Tek Singh (Combined)-III,301,3,26,246,,
352,352 - Government Boys Elementary School 257 GB Toba Tek Singh (Male)-I,250,0,6,334,,
353,353 - Government Boys Elementary School 257 GB Toba Tek Singh (Combined)-I,417,3,15,483,,
354,354 - Government Girls High School 257 GB Toba Tek Singh (Female)-I,253,1,3,274,,
355,355 - Government Boys High School 258 GB Toba Tek Singh (Combined)-I,319,0,21,166,,
356,356 - Government Boys High School 258 GB Toba Tek Singh (Combined)-II,246,0,8,96,,
357,357 - Government Girls High School 258 GB Toba Tek Singh (Combined)-I,519,4,57,394,,
358,358 - Government Boys Primary School 250 GB Toba Tek Singh (Combined)-I,421,0,15,274,,
359,359 - Government Girls High School 250 GB Toba Tek Singh (Combined)-I,412,0,17,211,,
360,360 - Government Boys Primary School 253 GB Toba Tek Singh (Combined)-I,306,0,4,428,,
361,361 - Government Girls Elementary School 253 GB Toba Tek Singh (Combined)-I,354,1,4,291,,
362,362 - Government Boys High School 254 GB Toba Tek Singh (Combined)-I,612,0,16,403,,
363,363 - Government Girls High School 254 GB Toba Tek Singh (Combined)-I,802,0,6,361,,
364,364 - Government Girls High School 247 GB Toba Tek Singh (Male)-I,254,0,19,218,,
365,365 - Government Girls High School 247 GB Toba Tek Singh (Female)-I,250,0,9,189,,
366,366 - Government Boys Elementary School 247 GB Toba Tek Singh (Combined)-I,324,2,1,336,,
367,367 - Government Boys Elementary School 247 GB Toba Tek Singh (Combined)-II,276,0,4,129,,
368,368 - Government Boys Primary School 249 GB Toba Tek Singh (Combined)-I,402,0,4,476,,
369,369 - Government Girls Elementary School 249 GB Toba Tek Singh (Combined)-I,390,0,3,188,,
370,370 - Government Boys Primary School 251 GB Toba Tek Singh (Combined)-I,312,0,2,389,,
371,371 - Government Girls High School 251 GB Toba Tek Singh (Combined)-I,415,0,6,486,,
372,372 - Government Boys Elementary School 182 GB Toba Tek Singh (Combined)-I,561,0,20,455,,
373,373 - Government Girls High School 182 GB Toba Tek Singh (Combined)-I,316,1,12,224,,
374,374 - Government Girls Primary School 183 GB Pakhowal TTSingh (Combined)-I,184,1,32,275,,
375,375 - Government Girls Primary School 183 GB Pakhowal TTSingh (Combined)-II,171,0,21,343,,
376,376 - Government Boys Primary School 183 GB Mian Kot Toba Tek Singh (Combined)-I,235,1,28,288,,
377,377 - Government Girls High School 183 GB Mian Kot TTSingh (Combined)-I,356,1,19,362,,
378,378 - Government Girls Higher Secondary School 252 GB Toba Tek Singh (Combined)-I,370,0,5,313,,
379,379 - Government Girls Higher Secondary School 252 GB Toba Tek Singh (Combined)-II,403,0,23,429,,
380,380 - Government Primary School 290 JB Toba Tek Singh (Combined)-I,619,3,5,435,,
381,381 - Government Girls Primary School 291 JB Toba Tek Singh (Male)-I,223,2,56,275,,
382,382 - Government Girls Primary School 291 JB Toba Tek Singh (Female)-I,205,7,43,204,,
383,383 - Government Boys High School 295 JB Toba Tek Singh (Male)-I,324,2,18,358,,
384,384 - Government Girls Primary School 295 JB Toba Tek Singh (Female)-I,0,0,0,0,,
385,385 - Government Boys Primary School 292 JB Toba Tek Singh (Male)-I,237,0,4,362,,
386,386 - Government Boys Primary School 292 JB Toba Tek Singh (Female)-I,200,1,0,311,,
387,387 - Government Boys Primary School 293 JB TTSingh (Combined)-I,482,0,244,109,,
388,388 - Government Boys Primary School 294 JB Toba Tek Singh (Combined)-I,372,1,5,399,,
389,389 - Government Girls Elementary School 294 JB Toba Tek Singh (Combined)-I,443,3,8,512,,
390,390 - Government Girls High School 348 GB Toba Tek Singh (Combined)-I,301,5,12,617,,
391,391 - Government Girls High School 348 GB Toba Tek Singh (Combined)-II,265,3,49,373,,
392,392 - Government Boys Elementary School 349 GB Toba Tek Singh (Combined)-I,481,21,4,458,,
393,393 - Government Girls Elementary School 349 GB Toba Tek Singh (Combined)-I,464,6,11,239,,
394,394 - Government Boys High School 350 GB Toba Tek Singh (Combined)-I,295,3,6,329,,
395,395 - Government Girls Elementary School 350 GB Toba Tek Singh (Combined)-I,515,9,1,381,,
396,396 - Government Boys Elementary School Primary Portion 294 GB Toba Tek Singh (Male)-I,526,2,78,367,,
397,397 - Government Girls High School 294 GB Toba Tek Singh (Female)-I,505,7,59,382,,
398,398 - Government Boys Elementary School Primary Portion 294 GB Toba Tek Singh (Combined)-I,526,2,78,367,,
399,399 - Government Model Girls Primary School 292 GB Toba Tek Singh (Combined)-I,393,8,21,531,,
400,400 - Government Boys Primary School 295 GB Toba Tek Singh (Combined)-I,473,13,13,451,,
401,401 - Government Girls High School 295 GB Toba Tek Singh (Male)-I,472,3,29,348,,
402,402 - Government Girls High School 295 GB Toba Tek Singh (Female)-I,368,9,11,278,,
403,403 - Government Girls High School 295 GB Toba Tek Singh (Combined)-I,187,3,0,125,,
404,404 - Government Boys Primary School 351 GB Toba Tek Singh (Combined)-I,487,0,0,449,,
405,405 - Government Girls High School 351 GB Toba Tek Singh (Male)-I,564,3,14,355,,
406,406 - Government Girls High School 351 GB Toba Tek Singh (Female)-I,500,1,10,321,,
407,407 - Government Boys Primary School 339 GB Kalan Toba Tek Singh (Combined)-I,580,2,44,400,,
408,408 - Government Girls Elementary School 339 GB Kalan Toba Tek Singh (Combined)-I,289,1,67,254,,
409,409 - Government Boys Primary School 339 GB Khurd Toba Tek Singh (Combined)-I,594,1,30,500,,
410,410 - Government Boys Primary School 339 GB Khurd Toba Tek Singh (Combined)-II,42,1,15,69,,
411,411 - Government Girls High School 340 GB Toba Tek Singh (Combined)-I,138,4,17,323,,
412,412 - Government Girls High School 340 GB Toba Tek Singh (Combined)-II,194,7,44,461,,
413,413 - Government Boys High School 517 GB Toba Tek Singh (Male)-I,211,1,8,303,,
414,414 - Government Boys High School 517 GB Toba Tek Singh (Female)-I,251,2,5,289,,
415,415 - Government Girls Elementary School 517 GB Toba Tek Singh (Combined)-I,324,2,3,405,,
416,416 - Government Boys High School 336 GB Toba Tek Singh (Combined)-I,407,1,16,303,,
417,417 - Government Boys High School 336 GB Toba Tek Singh (Combined)-II,264,2,8,229,,
418,418 - Government Boys Primary School 336 GB New Saraba Toba Tek Singh (Female)-I,241,3,21,228,,
419,419 - Government Boys Primary School 336 GB New Saraba Toba Tek Singh (Male)-I,233,3,20,267,,
420,420 - Government Boys Primary School 337 GB Toba Tek Singh (Combined)-I,337,0,3,286,,
421,421 - Government Boys Primary School 337 GB Toba Tek Singh (Combined)-II,539,1,5,352,,
422,422 - Government Boys Primary School 338 GB Toba Tek Singh (Combined)-I,428,3,50,453,,
423,423 - Government Girls Community Model Elementary School 338 GB Toba Tek Singh (Combined)-I,244,0,24,264,,
424,424 - Government Boys Primary School 307 GB Toba Tek Singh (Combined)-I,215,5,43,233,,
425,425 - Government Boys Primary School 307 GB Toba Tek Singh (Combined)-II,333,4,31,240,,
426,426 - Government Boys Elementary School 341 GB Toba Tek Singh (Female)-I,180,2,4,403,,
427,427 - Government Boys Elementary School 341 GB Toba Tek Singh (Male)-I,220,0,12,475,,
428,428 - Government Girls High School 342 GB Toba Tek Singh (Male)-I,168,0,9,344,,
429,429 - Government Girls High School 342 GB Toba Tek Singh (Female)-I,172,2,6,278,,
430,430 - Government Girls High School 342 GB Toba Tek Singh (Combined)-I,54,3,3,210,,
431,431 - Government Boys Model High School 343 GB Toba Tek Singh (Male)-I,341,1,47,523,,
432,432 - Government Girls Higher Secondary School 343 GB Toba Tek Singh (Female)-I,318,0,28,399,,
