No,Name,PTI-IND,PML-N,Total Votes,Filename
1,Sardar Begum Teaching Hospital Sialkot,474,295,,
2,Sardar Begum Teaching Hospital Sialkot,280,193,,
3,Sardar Begum Teaching Hospital Sialkot,213,93,,
4,Govt Municipal Welfare Complex Sialkot,484,294,,
5,Govt Municipal Welfare Complex Sialkot,314,181,,
6,Social Welfare Complex Sialkot,175,173,,
7,Social Welfare Complex Sialkot,239,243,,
8,Social Welfare Complex Sialkot,171,151,,
9,Social Welfare Complex Sialkot,309,247,,
10,Social Welfare Complex Sialkot,266,168,,
11,Govt Girls Elementary school East Road - P12,541,299,,
12,Govt Girls Elementary school East Road - P13,456,233,,
13,Govt Girls Elementary school East Road - P15,363,171,,
14,Govt Post Graduate College for women,421,213,,
15,Govt College University Sialkot - P18,393,274,,
16,Govt Post Graduate College for women - p19,325,200,,
17,Govt Post Graduate College for women - p20,488,243,,
18,Govt Post Graduate College for women - p21,423,163,,
19,Govt Boys Elementary School P22,310,219,,
20,Govt Boys Elementary School P24,450,255,,
21,Govt Standart Girls High School P25,371,181,,
22,Govt College of Technology Sialkot P26,315,174,,
23,Govt College of Technology Sialkot P29,547,413,,
24,Govt College of Technology Sialkot P31,443,298,,
25,General Post Office P32,400,360,,
26,General Post Office,373,209,,
27,Govt Girls Muslim Model High School P34,400,251,,
28,Govt Girls Muslim Model High School P35,337,161,,
29,Govt Girls Muslim Model High School,289,200,,
30,NA 71 Sialkot II (Polling station name not mentioned),251,136,,
31,P37,251,136,,
32,Govt P/G Commerce College Sialkot,428,372,,
33,Govt Commerce College Sialkot,332,219,,
34,Govt Murray College Sialkot P41,205,115,,
35,Govt Murray College Sialkot P42,400,282,,
36,Govt Murray College Sialkot P43,271,146,,
37,Govt Murray College Sialkot P44,280,182,,
38,Govt Boys High School p45,337,232,,
39,P46,282,148,,
40,P47,503,381,,
41,Govt Noor Fatima Girls High School,520,298,,
42,P49,342,159,,
43,Govt Pilot school,158,647,,
44,Govt Pilot school,270,145,,
45,Govt Jinnah Islamia College,502,313,,
46,Govt Arbic High School P54,296,220,,
47,Govt Arbic High School P55,247,147,,
48,Govt Arbic High School P56,486,278,,
49,Govt Arbic High School P57,382,181,,
50,P58,481,228,,
51,P59,442,264,,
52,P60,346,172,,
53,Govt Jameh High School P61,356,278,,
54,Registerd Elementary Pilot High School P64,287,218,,
55,Govt Girls High School P65,408,265,,
56,P66,355,195,,
57,Govt girls hight school P67,415,229,,
58,Govt girls hight school P68,328,162,,
59,P69,336,159,,
60,Govt Girls P/S Ringpora P70,233,125,,
61,Govt Model Elementary School P71,324,256,,
62,Govt MC Boys Primary School Ringpora,182,171,,
63,PS-73 Gov Model Primary School Kaky Wali,524,354,,
64,PS-75 Gov. Model Elementary School,593,374,,
65,PS-76 Gov. Model Primary School,604,355,,
66,PS-77 Gov. Comp. High School,370,249,,
67,PS-79 Gov. Jamia School,236,179,,
68,PS-80 Gov. Jinnah Islamia College,388,231,,
69,PS-81 GCPS Ghazipur,312,157,,
70,PS-83 Gov. Noor Fatima Girls High School,364,195,,
71,PS-84 Gov. Girls Primary School,448,367,,
72,PS-85 GCPS,277,214,,
73,PS-88 Gov. Model Community School,448,244,,
74,PS-89 BHU,461,125,,
75,PS-90,400,92,,
76,PS-91 GC Jamia High School,425,241,,
77,PS-92 Gov. Comprehensive High School,234,115,,
78,PS-93 Gov. Comprehensive High School,532,278,,
79,PS-95,283,146,,
80,PS-96 GGHSS,222,109,,
81,PS-97 Khuwaja Safdar Hospital,369,243,,
82,PS-98 Khuwaja Safdar Hospital,333,145,,
83,PS-99 Gov. Girls High School,421,193,,
84,PS-100 Khuwaja Safdar Hospital,413,175,,
85,PS-101 Khuwaja Safdar Hospital,285,110,,
86,PS-103 Gov. Girls Higher Secondary School,346,160,,
87,PS-104 Gov. Girls Higher Secondary School,486,324,,
88,PS-105 Gov. Girls Higher Secondary School,362,209,,
89,PS-107 Gov. GPES,365,205,,
90,PS-108 Lady Andersson GHS Sialkot,492,290,,
91,PS-109 Lady Andersson GHS Sialkot,340,211,,
92,PS-110 GSHSS Model Town Sialkot,434,279,,
93,PS-111,491,380,,
94,PS-112 GMC Boys High School,382,260,,
95,PS-113 Gov. MC School,529,237,,
96,PS-114 Gov. MC Boys High School,432,128,,
97,PS-115 Gov. MC School,459,370,,
98,PS-116 Gov. Higher Secondary School No 2,353,346,,
99,PS-118,498,274,,
100,PS-119,360,195,,
101,PS-62 REPHS,322,203,,
102,PS-11,312,169,,
103,PS-126,448,346,,
104,PS-110 (2),502,285,,
105,PS-194,340,591,,
106,PS-145,301,222,,
107,PS-108 (2),325,252,,
108,PS-04,302,143,,
109,PS-65,323,221,,
110,PS-63,380,311,,
111,PS-265 Classic School Flagship Sialkot,337,205,,
112,PS-14,382,270,,
113,PS-30,346,195,,
114,PS-27 Gov. College of Technology,293,142,,
115,PS-28 Poly Technical College Sialkot,414,292,,
116,PS-337 Gov. Girls PS Shahdra Road,293,335,,
117,Gov. School,449,390,,
118,Name N/A,251,136,,
119,Name N/A,362,220,,
120,PS-10,239,243,,
121,Name N/A,340,175,,
122,Gov. School No 2,286,199,,
123,Name N/A,454,266,,
124,Gov. Boys ES,300,280,,
125,PS-232 Adalat Gharh,444,381,,
126,Gov. Boys ES Adalat,300,280,,
127,Name N/A,447,390,,
128,Gov. Boys ES Adalat G,320,247,,
129,Gov. Girls High School,494,412,,
130,PS-237 Gov. Girls High School,356,290,,
131,PS-238 GGCMS Adalat Gharh,471,427,,
132,PS-239 GGCMS Adalat Gharh,338,277,,
133,PS-240 GGCMS,462,313,,
134,Name N/A,355,195,,
135,PS-242 Gov. Boys P/S,360,345,,
136,PS-243,419,222,,
137,PS-244 Govt Model High School,343,151,,
138,PS-245 Govt Model High School,522,268,,
139,PS-246 Govt Model High School,416,147,,
140,Shatab Gharh,345,306,,
141,PS-248,226,174,,
142,PS-249 Gov. Model School,230,269,,
143,PS-250 Gov. School,143,163,,
144,PS-87,515,239,,
145,PS-176 GMHS,354,266,,
146,PS-106 Gov. Girls Secondary School,443,297,,
147,PS-251 Gov. Girls Primary School,573,408,,
148,PS-252 Gov. Girls Primary School,440,255,,
149,PS-253 Gov. Girls Primary School,449,351,,
150,PS-254 Gov. Boys Primary School,332,191,,
151,PS-256 Gov. Boys Primary School,247,259,,
152,PS-257,306,193,,
153,PS-258,241,163,,
154,PS-259 Gov. Girls Primary School,903,179,,
155,PS-260,471,355,,
156,PS-262,488,292,,
157,PS-263 Gov. Girls High School,329,303,,
158,PS-264,309,184,,
159,PS-266,236,107,,
160,PS-267,495,225,,
161,PS-268,360,139,,
162,PS-269 Gov. Boys High School,461,255,,
163,PS-270 Gov. High School,222,153,,
164,PS-271,150,83,,
165,PS-272,307,300,,
166,PS-273 Gov. Boys High School,208,162,,
167,PS-274 Gov. Boys High School,400,233,,
168,PS-275 Gov. Girls High School,550,385,,
169,PS-276,459,262,,
170,Gov. Girls High School,254,216,,
171,PS-279 Gov. Girls High School,420,363,,
172,PS-280,427,205,,
173,PS-281 Gov. Girls High School,392,143,,
174,PS-282,435,257,,
175,PS-283 Union Council Office,351,165,,
176,PS-284 Gov. Christian Girls High School,303,253,,
