No,Name,PTI-IND,PML-N,Total Votes,Filename
177,PS-285 Gov. Christian Girls High School,324,174,,
178,PS-286 Gov. Christian Girls High School,493,287,,
179,PS-287,218,151,,
180,PS-288 (Unclear),0,0,,
181,PS-299 (Unclear),0,0,,
182,PS-290 Wapda Office,242,208,,
183,PS-291,165,115,,
184,PS-292 Office Telephone Exchange,310,232,,
185,PS-293 Office Telephone Exchange,222,154,,
186,PS-294 (Unclear),0,0,,
187,PS-295,290,241,,
188,PS-296,426,263,,
189,PS-297 Gov. Girls School,323,213,,
190,Gov. PS School,512,300,,
191,PS-300 Gov. Primary School,374,254,,
192,PS-302,508,344,,
193,PS-303 Gov. Boys E/S,370,205,,
194,PS-305 Gov. Boys E/S,216,156,,
195,PS-307 Gov. Girls Higher Secondary School,295,196,,
196,PS-308 Gov. Girls Higher Secondary School,268,129,,
197,PS-309 Gov. Girls Higher Secondary School,553,344,,
198,PS-310 Gov. Higher Secondary School,521,210,,
199,PS-311 Gov. Allama Iqbal College,327,230,,
200,PS-312 Gov. Allama Iqbal College,264,155,,
201,PS-313 Gov. Allama Iqbal College,500,369,,
202,PS-314 Gov. Allama Iqbal College,435,208,,
203,PS-315 Gov. Allama Iqbal College,449,294,,
204,PS-316,652,405,,
205,PS-317 Office Public Health Iqbal Town,522,255,,
206,PS-318,484,317,,
207,PS-319 Gov. Boys Elemantry School,317,200,,
208,PS-320 Office Public Health Iqbal Town,479,348,,
209,PS-321 Office Public Health Iqbal Town,316,206,,
210,Office Public Health Iqbal Town,328,190,,
211,PS-324 Gov. Allama Iqbal College,461,278,,
212,PS-325 Gov. Allama Iqbal College,366,157,,
213,PS-326 Gov. Girls High School,553,295,,
214,PS-327 Gov. Girls High School,379,327,,
215,PS-328 Mir hasan,302,205,,
216,PS-329 POGHS / Apwa,471,289,,
217,PS-331 Gov. MC Elemantry School,370,259,,
218,PS-332 Gov. MC Girls High School,304,174,,
219,PS-333,545,367,,
220,PS-334 Office Wapda Colony,381,270,,
221,PS-335,476,287,,
222,PS-336 Gov. MC Girls High School,368,206,,
223,PS-338 Gov. Girls Primary School,219,211,,
224,PS-339 Office Wapda Colony,318,353,,
225,PS-340 Office Wapda Colony,183,179,,
226,PS-341 Gov. Vocational Training Center,504,339,,
227,PS-342 Gov. Vocational Training Center,420,187,,
228,PS-343 Gov. Vocational Training Center,333,295,,
229,PS-344 Gov. Vocational Training Center,252,160,,
230,PS-345 GPS Fatah Gharh,342,302,,
231,PS-347 GPS Fatah Gharh,290,264,,
232,PS-348 Gov. Boys School Fatah Garh,513,341,,
233,PS-349 Gov. Primary Boys School,413,210,,
234,PS-350,555,340,,
235,PS-354 Register Park Grammar High School,509,372,,
236,PS-355 Register Girls High School,411,247,,
237,PS-356 Allied School,423,345,,
238,PS-357,420,444,,
239,PS-358 Gov. Primary School,295,342,,
