No,Name,PTI-IND,IND,TLP,Total Votes,Filename
186,Nara Syedan,278,186,53,,
187,Hoon Dhamial,106,277,43,,
188,Hoon Dhamial,123,97,62,,
189,PTC Sihala,155,107,72,,
190,PTC Sihala,123,97,62,,
191,Herdo gher,0,0,0,,
192,Herdo gher,193,74,66,,
193,Herdo gher,264,105,219,,
194,Herdo gher,205,54,85,,
195,Herdo gher,197,36,52,,
196,Sihala Khurd,157,147,167,,
197,Sihala Khurd,140,140,114,,
198,Sihala Mirzian,202,305,157,,
199,Sihala Mirzian,176,202,124,,
200,Sihala,146,270,48,,
201,Sihala,135,339,19,,
202,Chak Rawat,317,298,50,,
203,Chak Rawat,285,284,27,,
204,Jinnah Garden,176,17,88,,
205,Jinnah Garden,387,49,28,,
206,Jinnah Garden,379,11,12,,
207,Jinnah Garden,723,23,6,,
208,Gagri,98,10,204,,
209,humak,381,22,30,,
210,humak,334,15,11,,
211,humak,255,14,25,,
212,Humak,217,9,14,,
213,Humak,422,23,26,,
214,Ara Burji,244,19,34,,
215,Ara Burji,221,0,19,,
216,Humak,307,73,64,,
217,Humak,244,48,0,,
218,Humak,237,173,101,,
219,Humak,189,140,68,,
220,DHA,760,26,2,,
221,DHA,822,7,3,,
222,DHA,510,0,4,,
223,DHA,507,8,3,,
224,Rajwal,255,172,189,,
225,Rajwal,252,135,121,,
226,Gohra Shahan,327,16,85,,
227,Gohra Shahan,234,7,50,,
228,Dhok Awan,269,40,23,,
229,Mohra Kohlu,450,170,41,,
230,Niazian,136,159,189,,
231,Bahria Town,342,26,2,,
232,Bahria Town,382,15,2,,
233,Bahria Town,467,44,11,,
234,Bahria Town,496,19,4,,
235,Bahria Town,686,37,5,,
236,Bahria Town,676,17,3,,
237,Bahria Town,569,60,7,,
238,Mohra Nagial,586,123,87,,
239,Mohra Nagial,410,104,81,,
240,Bahria Town,389,26,13,,
241,Bahria Town,409,12,3,,
242,DHA,421,25,10,,
243,DHA,441,11,0,,
244,DHA,616,24,2,,
245,DHA,619,16,2,,
246,DHA,603,16,4,,
247,DHA,713,38,7,,
248,DHA,700,26,2,,
249,Rawat,254,145,152,,
250,Rawat,213,134,100,,
251,Rawat,0,0,0,,
252,Rawat,118,172,112,,
253,Rawat,222,113,105,,
254,BanniSaran,307,227,288,,
255,BanniSaran,258,169,241,,
256,Rawat,160,173,162,,
257,Rawat,140,150,148,,
258,Rawat,159,180,283,,
259,Rawat,156,140,242,,
260,Bangrial Khurd,0,0,0,,
261,Bangrial Khurd,197,250,397,,
