No,Name,PTI-IND,PML-N,Total Votes,Filename
69,"Govt. Public Modle High School for Boys, Nain Sukh, Parchi Stop  Shahdara Lahore",218,315,,
70,Universal Grammar School Barkat Town,95,54,,
71,"Govt. Public Modle High School for Boys Nain  Sukh, Parchi Stop, Shahdara , Lahore (Male-I)",272,318,,
72,"Govt. Public Modle High School for Boys Nain  Sukh, Parchi Stop Shahdara , Lahore (Male-II)",351,311,,
73,"Govt Girls High School Nain Sukh, Al Jant Road Shahdara (Female-I)",191,300,,
74,"Govt Girls High School Nain Sukh, Al Jant Road Shahdara (Female-II)",142,301,,
75,"City District Govt. High School for Boys , Meraj Park, Begum Kot, Shahdara Lahore (Male)",213,124,,
76,The SKIAM High School Ali Block Begum Kot (Combined),157,100,,
77,"City District Govt. High School for Boys, Meraj Park, Begum Kot Shahdara Lahore (Female-I)",170,94,,
78,"City District Govt. High School for Boys , Meraj Park, Begum Kot Shahdara Lahore (Female-II)",125,203,,
79,The SKIAM High School Ali Block Begum Kot (Male),251,219,,
80,"New Campus of Education Begum Kot Shahdara, Lahore (Combined)",96,654,,
81,"New Campus of Education Begum Kot Shahdara, Lahore (Male)",250,158,,
82,"New Campus of Education Begum Kot Shahdara, Lahore (Female)",190,157,,
83,Allied School (Now Smart School)  near Pole Sui Gas Office Chowk BegumKot Shahdara Lahore (Male),190,265,,
84,Allied School (Now Smart School)  near Pole Sui Gas Office Chowk BegumKot Shahdara Lahore (Female),96,234,,
85,"CDG Dispensary, Begum Kot, Shahdara Lahore (Male)",141,215,,
86,"Campus of Education Shoukat Colony, Begum Kot, Shahdara Lahore (Combined)",110,279,,
87,"CDG Dispensary, Begum Kot, Shahdara Lahore (Female)",87,205,,
88,"Government Girls Elementary School Aziz Coloney Farrukhabad Shahdara, Lahore",167,216,,
89,"CDG Boys Middle School, Farakh Abad, Baradari Road, Shahdara, Lahore (Male-I)",188,316,,
90,"CDG Boys Middle School, Farakh Abad, Baradari Road, Shahdara, Lahore (Female-I)",93,260,,
91,"CDG Boys Middle School, Farakh Abad, Baradari Road, Shahdara, Lahore (Male-II)",223,380,,
92,"CDG Boys Middle School, Farakh Abad, Baradari Road, Shahdara, Lahore (Female-II)",134,323,,
93,"Al-Meraj School Saeed Park, Shahdar Lahore",297,105,,
94,"Al-Meraj Grammer School near Bilal Petrol Pump, Old G.T.Road, Shahdara Lahore (Male)",416,250,,
95,"Al-Meraj Grammer School near Bilal Petrol Pump, Old G.T.Road, Shahdara Lahore (Female)",276,166,,
96,"Al-Meraj Grammer School near Bilal Petrol Pump, Old G.T.Road, Shahdara Lahore (Combined)",394,328,,
97,"Dar-e-Arqam School near Laal Haveli Shahdara, Lahore (Combined-I)",401,236,,
98,"Dar-e-Arqam School near Laal Haveli Shahdara, Lahore (Combined-II)",235,170,,
99,"Govt. Girls Primary School, Malik Park, Shahdara, Lahore",275,208,,
100,"Friends School, Malik Park, Shahdara, Lahore (Male-I)",195,164,,
101,"Friends School, Malik Park, Shahdara, Lahore (Male-II)",136,128,,
102,"Zahid Islamic Public High School, Lalaazar Colony, Malik Park, Shahdara",216,250,,
103,"Tahir Foundation High School, Malik Park, Bara Dari Road",121,201,,
104,"Disposal Station, Stop No.25 Furkh Abad, Shahdara Lahore (Combined)",194,226,,
105,"Disposal Station, Stop No.25 Furkh Abad, Shahdara Lahore (Female)",71,122,,
106,"CDG Boys Middle School, Tar Garh, Shahdara, Lahore (Male)",201,214,,
107,"CDG Boys Middle School, Tar Garh, Shahdara, Lahore (Combined)",99,313,,
108,"CDG Boys Middle School, Tar Garh, Shahdara, Lahore (Female)",116,175,,
109,"M.I.Wellup Girls Secondary School Chaman Colony Near Shadara More, Lahore (Combined)",249,193,,
