No,Name,PTI-IND,PML-N,JIP,PPP,Total Votes,Filename
183,السمآبد۔)وعرت(،8/4-F السمآبدامڈلاکجلافروب ی 226,182,31,18,2,,
184,االسمآب.د۔)وعرت(،8/1-F االسمآب.دامڈلاکجلافررگزل 228,260,35,12,6,,
185,االسمآب.د۔)رمد(،8/1-F االسمآب.دامڈلاکجلافررگزل 229,173,47,18,5,,
186,االسمآب.د۔)وعرت(،8/1-F االسمآب.دامڈلاکجلافررگزل 230,178,41,4,6,,
187,االسمآب.د۔)رمد(،8/1-F االسمآب.دامڈلاکجلافررگزل 231,208,69,32,11,,
188,"االسمآب.د۔)وعرت(،8/1-F االسمآب.دامڈلاکجلافررگزل 232
ا       .                     ا       .                      ل          ل",200,43,27,4,,
189,"السمآبد۔)رمد(،10/2 -F السمآبدامڈلاکجلافررگزل)وپسرگوجیی( 233
ا       .                        ا       .                      ل          ل",228,49,24,14,,
190,"السمآبد۔)وعرت(،10/2 -F السمآبدامڈلاکجلافررگزل)وپسرگوجیی( 234
ا       .                     ا       .                      ل          ل",226,32,12,3,,
191,"السمآبد۔)رمد(،10/2 -F السمآبدامڈلاکجلافررگزل)وپسرگوجیی( 235
ا       .                        ا       .                      ل          ل",193,54,25,5,,
192,"السمآبد۔)وعرت(،10/2 -F السمآبدامڈلاکجلافررگزل)وپسرگوجیی( 236
ا       .                    ا       .             ا ¸ .",203,40,203,6,,
193,"السمآبد۔)رمد(،10/3-F السمآبدامڈلاکجلافروب ی 237
ا       .                       ا       .             ا ¸ .",320,70,36,10,,
194,"السمآبد۔)وعرت(،10/3-F السمآبدامڈلاکجلافروب ی 238
ا       .                    ا       .                                 ل          ل",310,54,18,2,,
195,"السمآبد۔)رمد(،10/3-F السمآبدامڈلاکجلآفاکرمسافررگزل)وپسرگوجیی( 239
ا       .                       ا       .                                 ل          ل",189,55,20,8,,
196,السمآبد۔)وعرت(،10/3-F السمآبدامڈلاکجلآفاکرمسافررگزل)وپسرگوجیی( 240,138,30,7,3,,
197,االسمآب.د۔)رمد(،10/1-IV( F) االسمآب.دامڈلوکسل 241,250,62,58,5,,
198,االسمآب.د۔)وعرت(،10/1-IV( F) االسمآب.دامڈلوکسل 242,260,50,40,1,,
199,"االسمآب.د۔)رتشمہک(،10/1-IV( F) االسمآب.دامڈلوکسل 243
¸ .",227,29,29,5,,
200,"االسمآب.د۔)رمد(،10/4-F االسمآب.دامڈلاکجلافروبای 244
¸ .",227,59,32,7,,
201,االسمآب.د۔)وعرت(،10/4-F االسمآب.دامڈلاکجلافروبای 245,258,35,18,4,,
202,االسمآب.د۔)رمد(،9/2-G،ربمن4 (IV) االسمآب.دامڈلوکسل 246,271,142,39,44,,
203,االسمآب.د۔)وعرت(،9/2-G،ربمن4 (IV) االسمآب.دامڈلوکسل 247,230,73,99,19,,
204,االسمآب.د۔)رمد(،9/2-G،ربمن4 (IV) االسمآب.دامڈلوکسل 248,264,104,40,28,,
205,االسمآب.د۔)وعرت(،9/2-G،ربمن4 (IV) االسمآب.دامڈلوکسل 249,200,57,31,17,,
206,االسمآب.د۔)رمد(،9/2-G،االسمآب.دامڈلاکجلافررگزل 250,218,96,37,37,,
207,االسمآب.د۔)وعرت(،9/2-G،االسمآب.دامڈلاکجلافررگزل 251,151,66,21,20,,
208,االسمآب.د۔)رمد(،9/2-G،(IV) االسمآب.دامڈلوکسلربمن1 252,242,109,27,19,,
209,االسمآب.د۔)وعرت(،9/2-G،(IV) االسمآب.دامڈلوکسلربمن1 253,161,66,9,7,,
210,االسمآب.د۔)رمد(،9/2-G،االسمآب.دامڈلاکجلافررگزل 254,419,151,68,38,,
211,االسمآب.د۔)وعرت(،9/2-G،االسمآب.دامڈلاکجلافررگزل 255,331,109,37,24,,
212,االسمآب.د۔)رمد(،9/2-IV( G) االسمآب.دامڈلوکسلربمن1 256,308,155,36,32,,
213,االسمآب.د۔)وعرت(،9/2-IV( G) االسمآب.دامڈلوکسلربمن1 257,252,85,49,10,,
214,االسمآب.د۔)رمد(،9/3-VI-X( G) االسمآب.دامڈلوکسلافررگزل 258,311,85,95,5,,
215,االسمآب.د۔)رمد(،9/3-IV( St # 68 G) االسمآب.دامڈلوکسل 260,369,123,66,15,,
216,االسمآب.د۔)وعرت(،9/3-IV( St # 68 G) االسمآب.دامڈلوکسل 261,387,75,0,19,,
217,االسمآب.د۔)رتشمہک(،9/3-VI-X( G) ا  .السمآب.دامڈلوکسلافررگزل 2 ¸26,315,137,46,32,,
218,"االسمآب.د۔)رمد(،9/4-VI-XII( G) دعبننیسحدیہشامڈلاکجلافروبای 263
.                          ¸ .",278,120,74,9,,
219,االسمآب.د۔)وعرت(،9/4-VI-XII( G) دعبننیسحدیہشامڈلاکجلافروبای 264,287,83,62,5,,
220,االسمآب.د۔)رمد(،9/4-G ربمن1 (IV) االسمآب.دامڈلوکسل 265,244,135,58,8,,
221,االسمآب.د۔)وعرت(،9/4-G ربمن1 (IV) االسمآب.دامڈلوکسل 266,233,78,38,2,,
222,االسمآب.د۔)رمد(،9/4-IV( No.2 G) االسمآب.دامڈلوکسل 267,379,170,65,13,,
223,االسمآب.د۔)وعرت(،9/4-IV( No.2 G) االسمآب.دامڈلوکسل 268,394,111,60,8,,
224,االسمآب.د۔)رمد(،9/4-VI-X( G) االسمآب.دامڈلوکسلافررگزل 269,254,130,60,6,,
225,"االسمآب.د۔)وعرت(،9/4-VI-X( G) االسمآب.دامڈلوکسلافررگزل 270
                           ¸ .",258,91,44,5,,
226,"االسمآب.د۔)رمد(،9/1-G،(VI-X) ب   .قینغدیہشامڈلوکسلافروبای 273
¸                             ¸ .",316,114,55,13,,
227,االسمآب.د۔)وعرت(،9/1-G،(VI-X) ب   .قینغدیہشامڈلوکسلافروبای 274,340,76,11,11,,
228,االسمآب.د۔)رمد(،9/1-I-X( G) االسمآب.دامڈلوکسلافررگزل 275,175,38,13,8,,
229,االسمآب.د۔)وعرت(،9/1-I-X( G) االسمآب.دامڈلوکسلافررگزل 276,194,20,9,9,,
230,االسمآب.د۔)رمد(،9/1-I-X( G) االسمآب.دامڈلوکسلافررگزل 277,182,68,25,2,,
231,االسمآب.د۔)وعرت(،9/1-I-X( G) االسمآب.دامڈلوکسلافررگزل 278,186,55,22,1,,
232,االسمآب.د۔)رمد(،9/2-G،(IV) االسمآب.دامڈلوکسلربمن3 279,220,79,16,15,,
233,االسمآب.د۔)رمد(،9/2-IV( G) االسمآب.دامڈلوکسلربمن3 281,408,150,62,49,,
234,"االسمآب.د۔)وعرت(،9/2-G،(IV) االسمآب.دامڈلوکسلربمن3 282
¸ .",281,123,32,35,,
235,"االسمآب.د۔)رمد(،10/2-I،(VI-X) ذاشینادمحدیہشامڈلوکسلافروبای 285
¸ .",364,114,77,7,,
236,"االسمآب.د۔)وعرت(،10/2-I،(VI-X) ذاشینادمحدیہشامڈلوکسلافروبای 286
¸ .",382,78,50,2,,
237,"االسمآب.د۔)رمد(،10/2-VI-X( I) ذاشینادمحدیہشامڈلوکسلافروبای 287
¸ .",334,123,94,10,,
238,"االسمآب.د۔)وعرت(،10/2-VI-X( I) ذاشینادمحدیہشامڈلوکسلافروبای 288
¸ .",315,95,87,3,,
239,"االسمآب.د۔)رمد(،10/2-VI-X( I) ذاشینادمحدیہشامڈلوکسلافروبای 289
¸ .",171,63,63,7,,
240,االسمآب.د۔)وعرت(،10/2-VI-X( I) ذاشینادمحدیہشامڈلوکسلافروبای 290,166,46,36,1,,
241,االسمآب.د۔)رمد(،10/2-IV( I) االسمآب.دامڈلوکسل 291,238,102,0,0,,
242,االسمآب.د۔)وعرت(،10/2-IV( I) االسمآب.دامڈلوکسل 292,209,68,48,5,,
243,.یاچنوکسل)ارمقلامرٹیک(،االسمآب.د۔)رمد(،10/2-I رٹکیس،(IV) االسمآب.دامڈلوکسل 293,284,92,83,10,,
244,.یاچنوکسل)ارمقلامرٹیک(،االسمآب.د۔)وعرت(،10/2-I رٹکیس،(IV) االسمآب.دامڈلوکسل 294,253,64,50,5,,
245,االسمآب.د۔)رمد(،10/2-IV( I) االسمآب.دامڈلوکسل 295,215,88,57,9,,
246,االسمآب.د۔)وعرت(،10/2-IV( I) االسمآب.دامڈلوکسل 296,205,57,41,1,,
247,االسمآب.د۔)رتشمہک( 10/4-VI-X( I) االسمآب.دامڈلوکسلافررگزل 297,161,57,24,9,,
248,االسمآب.د۔)رمد( 10/4-VI-X( I) االسمآب.دامڈلوکسلافررگزل 298,283,125,49,8,,
249,االسمآب.د۔)وعرت( 10/4-VI-X( I) االسمآب.دامڈلوکسلافررگزل 299,284,86,39,9,,
250,")41ربمن(،االسمآب.د۔)رمد( 10/4-I-VIII( I) االسمآب.دامڈلوکسلافررگزل 300
ا       .                    ا       .                        ل",256,82,34,17,,
251,"السمآبد۔)رمد(،10/4 -I، السمآبدامڈلاکجلافررگزل،رٹسیربمن23 302
ا       .                       ا       .                        ل",318,142,58,15,,
252,"السمآبد۔)وعرت(،10/4 -I، السمآبدامڈلاکجلافررگزل،رٹسیربمن23 303
ا       .                    ا       .                        ل",341,113,45,9,,
253,"السمآبد۔)رمد(،10/4 -I، السمآبدامڈلاکجلافررگزل،رٹسیربمن23 304
ا       .                       ا       .                        ل",246,168,35,11,,
254,"السمآبد۔)وعرت(،10/4 -I، السمآبدامڈلاکجلافررگزل،رٹسیربمن23 305
ا       .                                              ا ¸ .        ل",262,123,34,12,,
255,"السمآبد۔)رمد(،10/1-I،زراغمرہظمدیہشامڈلاکجلافروب ی،رٹسیربمن17 306
ا       .                                                ا ¸ .        ل",254,113,65,3,,
256,السمآبد۔)وعرت(،10/1-I،زراغمرہظمدیہشامڈلاکجلافروب ی،رٹسیربمن17 307,224,61,49,2,,
257,االسمآب.د۔)رمد(،10/1 -I،ربمن1،یلگربمن15،(IV) االسمآب.دامڈلوکسل 308,215,76,45,12,,
258,االسمآب.د۔)وعرت(،10/1 -I،ربمن1،یلگربمن15،(IV) االسمآب.دامڈلوکسل 309,212,44,48,5,,
259,االسمآب.د۔)رمد(،10/1 -I،ربمن1،یلگربمن15،(IV) االسمآب.دامڈلوکسل 310,273,139,82,21,,
260,"االسمآب.د۔)وعرت(،10/1 -I،ربمن1،یلگربمن15،(IV) االسمآب.دامڈلوکسل 311
ا       .                    ا       .                        ل",277,96,68,5,,
261,"السمآبد۔)رمد(،10/4 -I، السمآبدامڈلاکجلافررگزل،رٹسیربمن23 312
ا       .                       ا       .                        ل",476,174,92,20,,
262,السمآبد۔)وعرت(،10/4 -I، السمآبدامڈلاکجلافررگزل،رٹسیربمن23 313,392,111,76,13,,
263,"االسمآب.د۔)رمد(،10/1 -I،االسمآب.دامڈلاکجلافروبا ¸ .ی،رٹس    لیربمن18 314
ا       .                       ا       .             ا ¸ .        ل",191,60,46,10,,
264,السمآبد۔)وعرت(،10/1 -I، السمآبدامڈلاکجلافروب ی،رٹسیربمن18 315,211,43,44,1,,
265,االسمآب.د۔)رمد(،10/1-I،ربمن2،یلگربمن58اور59،(IV) االسمآب.دامڈلوکسل 316,178,85,45,9,,
266,االسمآب.د۔)وعرت(،10/1-I،ربمن2،یلگربمن58اور59،(IV) االسمآب.دامڈلوکسل 317,146,55,48,5,,
267,االسمآب.د۔)رمد(،10/1-I،ربمن2،یلگربمن58اور59،(IV) االسمآب.دامڈلوکسل 318,253,65,45,29,,
268,االسمآب.د۔)وعرت(،10/1-I،ربمن2،یلگربمن58اور59،(IV) االسمآب.دامڈلوکسل 319,186,52,60,12,,
269,االسمآب.د۔)رمد(،10/2-G االسمآب.دامڈلاکجلافررگزل 322,209,60,35,20,,
270,االسمآب.د۔)وعرت(،10/2-G االسمآب.دامڈلاکجلافررگزل 323,252,37,29,6,,
271,االسمآب.د۔)رمد(،10/3-IV( G) االسمآب.دامڈلوکسل 324,433,152,48,54,,
272,"االسمآب.د۔)وعرت(،10/3-IV( G) االسمآب.دامڈلوکسل 325
¸ .",336,113,40,21,,
273,"االسمآب.د۔)رمد(،10/3 -VI-X( G) امعراخندیہشامڈلوکسلافروبای 326
¸ .",279,179,60,60,,
274,االسمآب.د۔)وعرت(،10/3 -VI-X( G) امعراخندیہشامڈلوکسلافروبای 327,236,104,35,39,,
275,االسمآب.د۔)رمد(،10/3-I-X( G) االسمآب.دامڈلوکسلافررگزل 328,296,130,53,41,,
276,االسمآب.د۔)وعرت(،10/3-I-X( G) االسمآب.دامڈلوکسلافررگزل 329,256,71,39,30,,
277,االسمآب.د۔)رمد(،10/3-I-X( G) االسمآب.دامڈلوکسلافررگزل 330,381,104,74,13,,
278,"االسمآب.د۔)وعرت(،10/3-I-X( G) االسمآب.دامڈلوکسلافررگزل 331
ا       .                     ا       .                      ل          ل",389,98,65,3,,
279,"السمآبد۔)رمد(،10/4-G السمآبدامڈلاکجلافررگزل)وپسرگوجیی( 332
ا       .                       ا       .                      ل          ل",412,130,87,13,,
280,السمآبد۔)وعرت(،10/4-G السمآبدامڈلاکجلافررگزل)وپسرگوجیی( 333,417,97,55,11,,
281,االسمآب.د۔)رمد(،10/4-IV( G) االسمآب.دامڈلوکسل 334,352,159,100,16,,
282,"االسمآب.د۔)وعرت(،10/4-IV( G) االسمآب.دامڈلوکسل 335
ا       .                        ا       .                      ل          ل",339,92,71,9,,
283,السمآبد۔)رتشمہک(،10/4-G السمآبدامڈلاکجلافررگزل)وپسرگوجیی( 336,316,96,46,3,,
284,االسمآب.د۔)رمد(،10/1-VI-X( G)االسمآب.دامڈلوکسلافررگزل 337,427,157,103,14,,
285,االسمآب.د۔)وعرت(،10/1-VI-X( G)االسمآب.دامڈلوکسلافررگزل 338,471,99,98,2,,
286,االسمآب.د۔)رمد(،10/1-VI-X( G) االسمآب.دامڈلوکسلافررگزل 339,358,157,112,16,,
287,االسمآب.د۔)وعرت(،10/1-VI-X( G) االسمآب.دامڈلوکسلافررگزل 340,320,109,85,10,,
288,االسمآب.د۔)رمد(،10/1-G،(IV) االسمآب.دامڈلوکسل 341,222,78,63,3,,
289,"االسمآب.د۔)وعرت(،10/1-G،(IV) االسمآب.دامڈلوکسل 342
¸ .",263,66,54,6,,
290,"االسمآب.د۔)رمد(،11/2-G،(VI-X) وافصیلعدیہشامڈلوکسل،افروبای 5
¸ .",259,102,42,13,,
291,"االسمآب.د۔)وعرت(،11/2-G،(VI-X) وافصیلعدیہشامڈلوکسل،افروبای 6
¸ .",234,77,50,11,,
292,"االسمآب.د۔)رمد(،11/2-G،(VI-X)وافصیلعدیہشامڈلوکسل،افروبای 7
¸ .",238,88,39,10,,
293,"االسمآب.د۔)وعرت(،11/2-G،(VI-X)وافصیلعدیہشامڈلوکسل،افروبای 8
¸ .",217,64,23,4,,
294,االسمآب.د۔)رتشمہک(،11/2-G،(VI-X)وافصیلعدیہشامڈلوکسل،افروبای 9,121,60,16,4,,
295,االسمآب.د۔)رمد(،11/3-G االسمآب.داکجلآفآرسٹاڈنیاسزسنئ)آیئیساےاسی( یلگربمن98،رٹکیس 10,236,87,29,12,,
296,االسمآب.د۔)وعرت(،11/3-G دلخوہیناہیئوکسل،الپٹربمن2-اسی،یلگربمن94،رٹکیس 11,239,64,28,5,,
297,االسمآب.د۔)رمد(،11/3-G االسمآب.داکجلآفآرسٹاڈنیاسزسنئ)آیئیساےاسی( یلگربمن98،رٹکیس 12,183,47,42,5,,
298,"االسمآب.د۔)وعر .  ت(،11/3-G دلخوہیناہیئوکسل،الپٹ لربمن2-اسی،یلگربمن94،رٹکیس 13
ا   ا   ا      ن.  ٹی س    ا                سک   ا",1,0,27,0,,
299,"سی لی سیوم    وری ڈنیوکسلالپٹربمن  س سیرٹسیربمن118-124یج-11/4 )رمد( 24
ا   ا   ا      نٹی س    ا                سک   ا          ل",337,136,51,22,,
300,سی لی سیوم    وری ڈنیوکسلالپٹربمن  س سیرٹسیربمن118-124یج-11/4 )وعرت( 25,286,138,47,21,,
301,االسمآب.د۔)رمد(،11/1-I زلیاڈنیزٹسی،اچیربمن۔237-یس،رٹکیس 26,101,34,0,0,,
302,االسمآب.د۔)وعرت(،11/1-I زلیاڈنیزٹسی،اچیربمن237-یس ¸رٹکیس 27,33,17,1,15,,
303,"آیئیجیپروڈ،االسمآب.د۔)رتشمہک(،11/4-I آسفآفدیڈیٹپڈایرٹکیوفڈرٹکیس 28
ا       .                            لا                 ا   ا",416,134,55,18,,
304,السمآبد۔)رتشمہک(،11/4-H رن وکاہیئوکسل)آیئ سی سییسسپمیک(،اکمنربمن23،رٹکیس 29,121,39,13,26,,
305,دیویسیوکسلمٹسساچی-13،االسمآب.د۔)رمد( 31,188,77,61,10,,
306,دیویسیوکسلمٹسساچی-13،االسمآب.د۔)وعرت( 32,115,38,41,9,,
307,دیویسیوکسلمٹسساچی-13،االسمآب.د۔)رتشمہک( 33,314,118,51,14,,
308,اچیاسیولگ .ٹرگوپآفوکسزل،اچی-13،االسمآب.د۔)رمد( 34,391,179,65,19,,
309,"اچیاسیولگ .ٹرگوپآفوکسزل،اچی-13،االسمآب.د۔)وعرت( 35
ا       .                                            ا                            ا       ¸        . . ا",268,123,37,6,,
310,"السمآبد۔)رمد(،12-G کنلروڈ،رٹکیس 13-G،انجح رٹنلنشینکلبپوکسل)ےجآیئیپ سی(،امیہرفعج،ید اصنرامرٹیک 39
ا       .                                               ا                            ا       ¸        . . ا",87,174,15,4,,
311,"السمآبد۔)وعرت(،12-G کنلروڈ،رٹکیس 13-G،انجح رٹنلنشینکلبپوکسل)ےجآیئیپ سی(،امیہرفعج،ید اصنرامرٹیک 40
.ھٹ.گ    ا   ا       .",67,142,9,1,,
312,"یبولیوکسلمٹسس،ڈوھکایلمر،    یدیس ں، السمآبد)رمد( 66
.ھٹ.گ    ا   ا       .",215,169,98,7,,
313,"یبولیوکسلمٹسس،ڈوھکایلمر،    یدیس ں، السمآبد)وعرت( 67
ا       .                       ا               ا                .",140,118,66,9,,
314,"السمآبد۔)رمد(،14/3-I راف۰ رٹنلنشینویوینریٹس فیالبکق یاحیجپمیک،رٹکیس 84
ا       .                          ا               ا                .",234,132,34,13,,
315,"السمآبد۔)وعرت(،14/3-I راف۰ رٹنلنشینویوینریٹس فیالبکق یاحیجپمیک،رٹکیس 85
سٹ کھپ        ا       .                 ا       .               ا ¸ .",196,85,25,10,,
316,"ورونن، السمآبد۔)رمد( (I-V) السمآبدامڈلوکسلافروب ی 87
سٹ کھپ        ا       .                   ا       .               ا ¸ .",134,182,13,59,,
317,"ورونن، السمآبد۔)وعرت( (I-V) السمآبدامڈلوکسلافروب ی 88
ا ¸ .        ا       .",117,175,5,40,,
318,"نینسحرشفیدیہشامڈلاکجلافروب ی،یونل، السمآبد۔)وعرت( 105
ا       .                           ا           . .        ا       .",408,150,0,0,,
319,"یسوکسل، السمآبد،اکمنربمن89یلگربمن7،البک ےیٹلماگرڈییب-17، السمآبد۔)رمد( 139
ا       .                           ا           . .        ا       .",396,134,86,10,,
320,"یسوکسل، السمآبد،اکمنربمن89یلگربمن7،البک ےیٹلماگرڈییب-17، السمآبد۔)وعرت( 140
¸  ا            س .ٹگ ل     ا       .",378,81,51,5,,
321,ریکریئکلبپوکسل)رگزلسپمیک( نیمشہ ہللدہتروڈ،ڈنپ   ڑبل، السمآبد)رتشمہک( 151,212,151,36,32,,
322,سپمیک،االسمآب.د)رمد( 11/4-E،االڈیئوکسل 178,291,102,31,13,,
323,سپمیک،االسمآب.د)وعرت( 11/4-E،االڈیئوکسل 179,313,72,18,8,,
324,"نیمڈ .ٹروڈ،االسمآب.د)رمد(،11/4-E،دارارمقوکسزل 180
. ل     ا       .                                  ل ل        .          ا                          ا          .",418,104,51,5,,
325,لنشینوپسیلافؤننشی، السمآبد۔)وعرت(،11/3-E زگنکوکسل،نرلاہؤسیشٹرنرسی ڈنیڈےرئیکاہؤسربمن679- ے،نیمڈٹروڈ،رٹکیس 181,426,57,37,7,,
326,(وعرت) 11/1-VI-X( F) االسمآب.دامڈلوکسلافررگزل 194,204,69,15,21,,
327,دبہیاقدرشخب)وعرت( (I-X) االسمآب.دامڈلوکسلافررگزل 196,214,95,8,25,,
328,ہنیکسریہظاوجینشیکرٹنس،وگڑلہرولیےنشیٹس،االسمآب.د۔)وعرت( 205,171,144,18,100,,
329,افررگزل،درھ  یوم ہی،االسمآب.د۔)رتشمہک( (I-VIII) االسمآب.دامڈلوکسل 206,214,200,4,59,,
330,افررگزل،درھ  یوم ہی،االسمآب.د۔)رمد( (I-VIII) االسمآب.دامڈلوکسل 207,247,216,15,57,,
331,افررگزل،درھ  یوم ہی،االسمآب.د۔)وعرت( (I-VIII) االسمآب.دامڈلوکسل 208,191,160,18,60,,
332,االسمآب.د)رمد( 8/1-F االسمآب.دامڈلاکجلافررگزل 227,265,69,24,8,,
333,"(رمد) 9/3-VI-X( G) االسمآب.دامڈلوکسلافررگزل 259
ا       .                            ل                ا       .",348,52,67,7,,
334,"السمآبد۔)رمد( 9/1-G رٹسی# 27 (IV) السمآبدامڈلوکسل 271
ا       .                               ل                ا       .",395,129,51,15,,
335,السمآبد۔)وعرت( 9/1-G رٹسی# 27 (IV) السمآبدامڈلوکسل 272,431,88,45,5,,
336,"االسمآب.د۔)وعرت(،9/2-IV( G) االسمآب.دامڈلوکسلربمن3 280
ا       .                                    ل                 ا       .",145,63,14,10,,
337,"السمآبد۔)رمد( 9/2-G ربمن.2 رٹسیربمن-17 (IV) السمآبدامڈلوکسل 283
ا       .                                       ل                 ا       .",274,132,34,56,,
338,السمآبد۔)وعرت( 9/2-G ربمن.2 رٹسیربمن-17 (IV) السمآبدامڈلوکسل 284,157,93,17,43,,
339,)41ربمن(،االسمآب.د.. )وعرت( 10/4-I-VIII( I) االسمآب.دامڈلوکسلافررگزل 301,269,60,43,9,,
340,االسمآب.د۔)رمد(،10/2-G ربمن-1 (IV) االسمآب.دامڈلوکسل 320,375,103,73,6,,
341,االسمآب.د۔)وعرت(،10/2-G ربمن-1 (IV) االسمآب.دامڈلوکسل 321,345,76,59,8,,
342,االسمآب.دل۔)وعرت(،11/2-I-X( G) االسمآب.دامڈلوکسلافررگزل 4,233,56,38,7,,
