No,Name,PTI-IND,PML-N,JIP,PPP,Total Votes,Filename
44,"االسمآب.د۔)وعرت(،13/3 .-G،دیارئیرگارموکسل 69
ا   ا                  ھٹگ    ا   ا       .",398,68,47,11,,
45,"اہیئ زمی وجیرٹیکز،کنلروڈ،    یدیس ں، السمآبد۔)رتشمہک( 70
ا   ا                  .ھٹ.گ    ا   ا       .",270,94,19,13,,
46,"اہیئ زمی وجیرٹیکز،کنلروڈ،    یدیس ں، السمآبد۔)رمد( 71
ا   ا                  .ھٹ.گ    ا   ا       .",280,92,31,14,,
47,"اہیئ زمی وجیرٹیکز،کنلروڈ،    یدیس ں، السمآبد۔)وعرت( 72
.ھٹ.گ    ا   ا       .                     ا       .",217,47,14,5,,
48,یدیس ں، السمآبد۔)رتشمہک( (I-X) السمآبدامڈلوکسل،افررگزل 73,427,158,64,4,,
49,ڈوھکامیلسن،االسمآب.د۔)رمد( (IV) االسمآب.دامڈلوکسلافررگزل 74,378,247,52,23,,
50,ڈوھکامیلسن،االسمآب.د۔)وعرت( (IV) االسمآب.دامڈلوکسلافررگزل 75,251,150,37,20,,
51,"ڈوھکامیلسن،االسمآب.د۔)رتشمہک( (IV) االسمآب.دامڈلوکسلافررگزل 76
¸ .",376,229,33,7,,
52,"االسمآب.د۔)رمد(،13/2-G،االسمآب.دامڈلاکجلافروبای 77
¸ .",436,138,95,14,,
53,االسمآب.د۔)وعرت(،13/2-G،االسمآب.دامڈلاکجلافروبای 78,442,113,68,12,,
54,االسمآب.د۔)رمد(،13/1-G،االسمآب.دامڈلاکجلافررگزل 79,378,103,60,6,,
55,االسمآب.د۔)وعرت(،13/1-G،االسمآب.دامڈلاکجلافررگزل 80,390,71,43,3,,
56,االسمآب.د۔)رمد(،14/4-G،االسمآب.دامڈلاکجلافررگزل 81,281,136,79,2,,
57,"االسمآب.د۔)وعرت(،14/4-G،االسمآب.دامڈلاکجلافررگزل 82
¸        ل",301,95,65,4,,
58,"االسمآب.د۔)رتشمہک(،14/3-I ڈایوٹکیر    لیآسفدم  ¸ہنیااجحلج،احیج .  .پمیک،رٹکیس 83
ا                                            ھٹگ    ا   ا       .",372,134,90,9,,
59,"رگسسیامڈلوکسل ڈنیاکجل،نیلربمن-1رامحنبؤن،ریششہوسریروڈ    یدیس ں، السمآبد۔)رتشمہک( 86
ا       .                                                     ا ¸ .",323,230,158,12,,
60,"السمآبد۔)رمد(،14 -I-X( I) وہشدالعہمدیہشامڈلوکسلافروب ی 89
ا       .                                                        ا ¸ .",346,235,75,48,,
61,"السمآبد۔)وعرت(،14 -I-X( I) وہشدالعہمدیہشامڈلوکسلافروب ی 90
ا       .                  ا       .               ا ¸ .",291,165,44,30,,
62,"ونن، السمآبد۔)رمد( (I-X) السمآبدامڈلوکسلافروب ی 91
ا       .                    ا       .               ا ¸ .",259,278,72,179,,
63,ونن، السمآبد۔)وعرت( (I-X) السمآبدامڈلوکسلافروب ی 92,186,254,53,142,,
64,"دمہنیاملعلوکسلمٹسس،ڈنپرپ  بںرپاینآب.دی،االسمآب.د۔)رتشمہک( 93
¸ .",299,61,36,25,,
65,"ڈنپب ر  بں،االسمآب.د۔)رمد(،(IV) االسمآب.دامڈلوکسلافروبای 94
¸ .",334,66,37,12,,
66,"ڈنپب ر  بں،االسمآب.د۔)وعرت(،(IV) االسمآب.دامڈلوکسلافروبای 95
ا                 ا                 ا       .",165,34,30,19,,
67,"السہیمامڈلوکسل، افتقاکولین،یونل، السمآبد۔)رمد( 96
ا      ا             ا          . .          ا       .",405,118,47,24,,
68,"آوفسکرڈ السکم وجینشیکمٹسس، افتقاکولینیددمیندجسم، السمآبد۔)وعرت( 97
                ا           . . ا                   ا       .",177,48,13,16,,
69,باتسکنامڈلوکسل، افتقاکولین،ید السمامرٹیک،یونل، السمآبد۔)رتشمہک( 98,94,50,17,26,,
70,ڈکزڈنیلوکسل،یلگربمن1،ہلحمافروقامظع،اافتقاکولینروڈ،االسمآب.د۔)رتشمہک( 99,271,148,40,16,,
71,دورہ،االسمآب.د۔)رمد( (IV) االسمآب.دامڈلوکسل 100,242,216,43,245,,
72,دورہ،االسمآب.د۔)وعرت( (IV) االسمآب.دامڈلوکسل 101,192,181,24,241,,
73,ڈوھکرپاہچ،االسمآب.د۔)رتشمہک(،(I-X) االسمآب.دامڈلوکسلافررگزل 102,319,94,34,9,,
74,"ڈوھکرپاہچ،االسمآب.د۔)رتشمہک(،(I-X) االسمآب.دامڈلوکسلافررگزل 103
¸ .",171,352,10,34,,
75,"نینسحرشفیدیہشامڈلاکجلافروبای،یونل،االسمآب.د.. )رمد( 104
. .                   . .              ا       .",306,203,27,84,,
76,رپورگوسیامڈلوکسلیدریظنیبوچک،نیمحتفجروڈ،یونل، السمآبد۔)رتشمہک( 106,308,139,13,48,,
77,رالئڈسنفیوکسلاڈنیاکجل،االسمآب.د۔)رتشمہک( 107,202,180,13,0,,
78,"رالئڈسنفیوکسلاڈنیاکجل،االسمآب.د۔)رتشمہک( 108
¸ .",148,242,36,5,,
79,"نینسحرشفیدیہشامڈلاکجلافروبای،یونل،االسمآب.د۔)رتشمہک( 109
. .                  . .              ا       .",215,169,9,19,,
80,"وزڈمامڈلوکسل،یدتلماکولین،نیمحتفجروڈ،یونل، السمآبد۔)رمد( 110
. .                  . .              ا       .",242,160,37,34,,
81,"وزڈمامڈلوکسل،یدتلماکولین،نیمحتفجروڈ،یونل، السمآبد۔)وعرت( 111
ا                              ا       .",91,82,24,26,,
82,"زیم نوکسزل،ہلحموچدرھبں،یونل، السمآبد۔)رتشمہک( 112
ا       .                  ا  .         ا                     ا ¸ .",193,151,37,15,,
83,"ونزگی، السمآبد۔)رمد(،(I-X) ربباصدق ہللدیہشامڈلوکسلافروب ی 113
ا       .                    ا  .         ا                     ا ¸ .",201,170,11,39,,
84,"ونزگی، السمآبد۔)وعرت(،(I-X) ربباصدق ہللدیہشامڈلوکسلافروب ی 114
ا       .                ب .ھ لا       ا       .",200,140,13,33,,
85,"السمآبدامڈلاکجلافررگزل  ڈ ہنالکں، السمآبد۔)رتشمہک( 115
ا       .                ب .ھ لا       ا       .",327,167,12,66,,
86,"السمآبدامڈلاکجلافررگزل  ڈ ہنالکں، السمآبد۔)رمد( 116
ا       .                ب .ھ لا       ا       .",297,184,3,54,,
87,"السمآبدامڈلاکجلافررگزل  ڈ ہنالکں، السمآبد۔)وعرت( 117
ب .ھ لا       ا       .                       ا                   ا ¸ .",204,151,6,76,,
88,"ڈ ہنالکں، السمآبد۔)رمد( (I-X) ریشون زدیہشامڈلوکسلافروب ی 118
ب .ھ لا       ا       .                         ا                   ا ¸ .",241,214,20,91,,
89,"ڈ ہنالکں، السمآبد۔)وعرت( (I-X) ریشون زدیہشامڈلوکسلافروب ی 119
ا       .                ب .ھ لا       ا       .",211,204,15,89,,
90,"السمآبدامڈلاکجلافررگزل  ڈ ہنالکں، السمآبد۔)رتشمہک( 120
ا     .      ا       .                      ا       .",243,177,10,16,,
91,"رس ےئخوبزہ، السمآبد۔)رمد( (I-VIII) السمآبدامڈلوکسلافررگزل 121
ا     .      ا       .                        ا       .",222,123,7,4,,
92,"رس ےئخوبزہ، السمآبد۔)وعرت( (I-VIII) السمآبدامڈلوکسلافررگزل 122
ا     .      ا       .                      ا       .",68,186,2,7,,
93,"رس ےئخوبزہ، السمآبد۔)رمد( (I-VIII) السمآبدامڈلوکسلافررگزل 123
ا     .      ا       .                        ا       .",137,245,7,5,,
94,"رس ےئخوبزہ، السمآبد۔)وعرت( (I-VIII) السمآبدامڈلوکسلافررگزل 124
ا           . ل                                              .         ا       .",99,62,1,11,,
95,"ر لئویفرچافؤننشیوکسل/اجنپباسسنئاکجلڈوھکابعیس،اسڑیخوبزہروڈ، السمآبد۔)رمد( 125
ا   ا ا                 ایک س             ا                                    ا     .      ا       .",196,112,14,6,,
96,"ق ء وجینشیکوکسلآف   یسنیل،دصقی ربک،وچک/اینزیوچک،ڈوھکابعیس،رس ےئخوبزہ، السمآبد۔)وعرت( 126
ن.ٹلی س                 ا     .                  ا       .",122,129,1,9,,
97,"دیولگریوم    وریوکسلمٹسسرس ےئخوبزہ،ڈوھکابعیس، السمآبد۔)رتشمہک( 127
ن.ٹلی س                 ا     .                  ا       .",256,216,28,10,,
98,"دیولگریوم    وریوکسلمٹسسرس ےئخوبزہ،ڈوھکابعیس، السمآبد۔)رمد( 128
ا   ا ا                 ایک س             ا                                    ا     .      ا       .",451,197,24,7,,
99,"ق ء وجینشیکوکسلآف   یسنیل،دصقی ربک،وچک/اینزیوچک،ڈوھکابعیس،رس ےئخوبزہ، السمآبد۔)وعرت( 129
ا   ا       .                                                  ا ¸ .",199,175,0,0,,
100,"ڈوھکرپ ہچ، السمآبد۔)رتشمہک(،(I-VIII) یلعاخندیہشامڈلوکسلافروب ی 130
ا   ا       .                                               ا ¸ .",326,334,50,30,,
101,"ڈوھکرپ ہچ، السمآبد۔)رمد(،(I-VIII) یلعاخندیہشامڈلوکسلافروب ی 131
ا   ا       .                                                 ا ¸ .",342,257,40,0,,
102,"ڈوھکرپ ہچ، السمآبد۔)وعرت(،(I-VIII) یلعاخندیہشامڈلوکسلافروب ی 132
ا   ا       .                                               ا ¸ .",158,154,16,27,,
103,"ڈوھکرپ ہچ، السمآبد۔)رمد(،(I-VIII) یلعاخندیہشامڈلوکسلافروب ی 133
ا   ا       .                                                 ا ¸ .",324,370,23,42,,
104,"ڈوھکرپ ہچ، السمآبد۔)وعرت(،(I-VIII) یلعاخندیہشامڈلوکسلافروب ی 134
 ل ا       .                ا       .               ا ¸ .",139,282,16,36,,
105,"وجہ، السمآبد۔)رمد(،(IV) السمآبدامڈلوکسلافروب ی 135
 ل ا       .                   ا       .               ا ¸ .",288,273,30,78,,
106,وجہ، السمآبد۔)وعرت(،(IV) السمآبدامڈلوکسلافروب ی 136,149,195,0,0,,
107,ڈوھکوجڑی،االسمآب.د۔)رمد(،(I-VIII) االسمآب.دامڈلوکسلافررگزل 137,266,323,16,130,,
108,ڈوھکوجڑی،االسمآب.د۔)وعرت(،(I-VIII) االسمآب. لدامڈلوکسلافررگزل   ¸138,175,245,9,106,,
109,"ڈوھکوجڑی،االسمآب.د۔)رمد(،(I- VIII) زمحہیلعاککدیہشامڈلوکسلافروبای 141
ل                    ¸ .",255,324,51,107,,
110,ڈوھکوجڑی،االسمآب.د۔)وعرت(،(I- VIII) زمحہیلعاککدیہشامڈلوکسلافروبای 142,180,306,50,99,,
111,"سٹ.گج .این،االسمآب.د۔)رمد( (I-X) االسمآب.دامڈلوکسلافررگزل 143
سٹ.گ .   ا       .                    ا       .",245,242,7,47,,
112,"جاین، السمآبد۔)وعرت( (I-X) السمآبدامڈلوکسلافررگزل 144
سٹ.گ .   ا       .",167,156,4,60,,
113,"جاین، السمآبد۔)رمد( (VI-X) املسندیہشامڈلوکسل،ڑلوکںےکےیل 145
سٹ.گ .   ا       .",242,261,13,11,,
114,جاین، السمآبد۔)وعرت( (VI-X) املسندیہشامڈلوکسل،ڑلوکںےکےیل 146,168,158,13,14,,
115,رساےئامدو،االسمآب.د۔)رمد( (IV) االسمآب.دامڈلوکسلافررگزل 147,227,276,20,149,,
116,"رساےئامدو،االسمآب.د۔)وعرت( (IV) االسمآب.دامڈلوکسلافررگزل 148
¸                 .  ل",175,240,10,168,,
117,"امرہلگویلیاسسنئاہؤس،شہاہللڈبروڈ،ڈنپسٹگڑ  بل،االسمآب.د۔)رمد( 149
¸  ا            س .ٹگ ل     ا       .",327,214,54,44,,
118,"امرہلگویلیاسسنئاہؤس،شہ ہللڈبروڈ،ڈنپ   ڑبل، السمآبد۔)وعرت( 150
¸  ا      ا       .                  ¸       .                   ا ¸ .",282,191,36,40,,
119,"شہ ہللدہت، السمآبد۔)رمد(،(IV) شہزیدیہشامڈلوکسلافروب ی 152
¸  ا      ا       .                    ¸       .                   ا ¸ .",348,315,23,49,,
120,"شہ ہللدہت، السمآبد۔)وعرت(،(IV) شہزیدیہشامڈلوکسلافروب ی 153
¸  ا      ا       .                    ا       .             ا ¸ .",296,264,17,29,,
121,"شہ ہللدہت، السمآبد۔)رمد(،(VI-X) السمآبدامڈلاکجلافروب ی 154
¸  ا      ا       .                       ا       .             ا ¸ .",364,134,13,55,,
122,"شہ ہللدہت، السمآبد۔)وعرت(،(VI-X) السمآبدامڈلاکجلافروب ی 155
.                     ا ¸ .ا          س .ٹگ ل     ا       .",316,71,13,27,,
123,"ویبڈٹیئیٹسوکسلمٹسسافروب ی ڈنیرگزلڈنپ   ڑبل، السمآبد۔)رمد( 156
.                     ا ¸ .ا          س .ٹگ ل     ا       .",275,78,27,12,,
124,"ویبڈٹیئیٹسوکسلمٹسسافروب ی ڈنیرگزلڈنپ   ڑبل، السمآبد۔)وعرت( 157
ا . ا                         ا ¸ .            ا       .",238,59,0,0,,
125,"ی رنیسحدیہشامڈلوکسلافروب ی،ریسیرسل، السمآبد۔)رمد( 158
ا . ا                         ا ¸ .            ا       .",372,257,39,89,,
126,ی رنیسحدیہشامڈلوکسلافروب ی،ریسیرسل، السمآبد۔)وعرت( 159,344,220,30,76,,
127,ریماریبی،االسمآب.د۔)رمد( (I-X) االسمآب.دامڈلوکسلافررگزل 160,312,372,31,84,,
128,ریماریبی،االسمآب.د۔)وعرت( (I-X) االسمآب.دامڈلوکسلافررگزل 161,205,288,0,50,,
129,ریماریبی،االسمآب.د۔)رمد( (I-X) االسمآب.دامڈلوکسلافررگزل 162,282,385,18,40,,
130,ریماریبی،االسمآب.د۔)وعرت( (I-X) االسمآب.دامڈلوکسلافررگزل 163,244,350,9,34,,
131,االسمآب.د۔)رمد(،11-E،وگڑلہ (I-XII) االسمآب.دامڈلاکجلافررگزل 164,295,236,10,11,,
132,االسمآب.د۔)وعرت(،11-E،وگڑلہ (I-XII) االسمآب.دامڈلاکجلافررگزل 165,229,131,7,9,,
133,االسمآب.د۔)رتشمہک(،11-E،وگڑلہ (I-XII) االسمآب.دامڈلاکجلافررگزل 166,1,0,0,0,,
134,االسمآب.د۔)رمد(،11-E،وگڑلہ (I-XII) االسمآب.دامڈلاکجلافررگزل 167,249,299,15,9,,
135,"االسمآب.د۔)وعرت(،11-E،وگڑلہ (I-XII) االسمآب.دامڈلاکجلافررگزل 168
ا       .                    ا        ا                ایک س             .  ا ا",201,203,0,0,,
136,"السمآبد۔)رمد(،11/1-E  رٹنلنشین السکموکسلآف   یسنیل،نشلگخ د د،رٹکیس 169
ا        ا                ایک ٹ  لی.         .  ا ا         ل                   ا        سی چ    ا           ا       .",273,215,14,3,,
137,"رٹنلنشین السکموکسلآف    س،نشلگخ د د،رٹسیربمن-1،)سکیمولی ڈیکیم(    ور ی-11/1، السمآبد۔)وعرت( 170
ا       .                  .                        ا ¸ .",198,144,11,4,,
138,"وگڑلہ، السمآبد۔)رمد( (IV) ملمرمعدیہشامڈلوکسلافروب ی 171
ا       .                     .                        ا ¸ .",158,168,11,4,,
139,"وگڑلہ، السمآبد۔)وعرت( (IV) ملمرمعدیہشامڈلوکسلافروب ی 172
ا       .                      .                        ا ¸ .",147,113,0,3,,
140,"وگڑلہ، السمآبد۔)رتشمہک( (IV) ملمرمعدیہشامڈلوکسلافروب ی 173
    ا       .              .",104,46,4,12,,
141,"دڑھکومہی، السمآبد۔)رمد( II بوکسلسپمیک 174
    ا       .                 .",205,203,22,1,,
142,"دڑھکومہی، السمآبد۔)وعرت( II بوکسلسپمیک 175
    ا       .                 .",154,173,18,17,,
143,دڑھکومہی، السمآبد۔)رتشمہک( II بوکسلسپمیک 176,119,182,27,37,,
144,"االسمآب.د۔)رتشمہک(،11/2-E رکوٹیڈنکراہؤس،اہؤسربمن186،اخدلنبودیلروڈ،رٹکیس 177
ا       .                         ن.ٹ ک  .                   .",290,187,34,3,,
145,السمآبد۔)رتشمہک(،11/3 -E   ناہؤسوکسلمٹسس،ڈٹروڈ،رٹکیس 182,270,52,23,4,,
146,االسمآب.د۔)رمد(،11/3-F االسمآب.دامڈلاکجلافررگزل 183,255,63,237,7,,
147,االسمآب.د۔)وعرت(،11/3-F االسمآب.دامڈلاکجلافررگزل 184,286,42,36,11,,
148,سپمیک،االسمآب.د۔)رمد( 11/2-F،اویپافیاکجل 185,301,84,36,11,,
149,سپمیک،االسمآب.د۔)وعرت( 11/2-F،اویپافیاکجل 186,313,71,24,10,,
150,"االسمآب.د۔)رمد( 11/4-F پیٹسوکسلکی   ٹی ٹللسپمیک،رٹکیس 187
ا       .                                  کی   ٹی ٹل",182,54,29,9,,
151,السمآبد۔)وعرت( 11/4-F پیٹسوکسل     لسپمیک،رٹکیس 188,196,32,17,5,,
152,"االسمآب.د۔)رتشمہک(،11/1-VI-X( F) االسمآب.دامڈلوکسلافررگزل 189
¸ .",383,41,18,9,,
153,"االسمآب.د۔)رمد(،11/1-F االسمآب.دامڈلاکجلافروبای 190
¸ .",301,91,38,8,,
154,"االسمآب.د۔)وعرت(،11/1-F االسمآب.دامڈلاکجلافروبای 191
¸ .",330,69,26,4,,
155,االسمآب.د۔)رتشمہک(،11/1-F االسمآب.دامڈلاکجلافروبای 192,226,48,23,13,,
156,(رمد) 11/1-VI-X( F) االسمآب.دامڈلوکسلافررگزل 193,234,85,13,31,,
157,"دبہیاقدرشخب)رمد( (I-X) االسمآب.دامڈلوکسلافررگزل 195
ا         .                         .    ا       .",214,95,17,26,,
158,"دخلمبوکسلدبعیرمتس،رہمآبدی، السمآبد۔)رمد( 197
ا         .                         .    ا       .",209,190,20,1,,
159,"دخلمبوکسلدبعیرمتس،رہمآبدی، السمآبد۔)وعرت( 198
ا         .                         .    ا       .",144,98,15,7,,
160,"دخلمبوکسلدبعیرمتس،رہمآبدی، السمآبد۔)رتشمہک( 199
ا       .                   ¸  ا           ا     .                      ا ¸ .",127,100,20,17,,
161,"السمآبد۔)رمد(،12-F،امیہ وک (I-X) وسیبرصدیہشامڈلوکسلافروب ی 200
ا       .                      ¸  ا           ا     .                      ا ¸ .",227,304,8,13,,
162,السمآبد۔)وعرت(،12-F،امیہ وک (I-X) وسیبرصدیہشامڈلوکسلافروب ی 201,189,227,7,8,,
163,االسمآب.د۔)رتشمہک(،12-F،اس  بوکسل،ریمااوک 202,282,228,0,0,,
164,االسمآب.د۔)رتشمہک(،12-F  .یتکیلعامڈلوکسل،امیہاوک،رٹکیس 203,283,337,9,9,,
165,"ہنیکسریہظاوجینشیکرٹنس،وگڑلہرولیےانشیٹس،االسمآب.د۔)رمد( 204
ا   ا     ملٹ ک   ا   .                ا       .                  ا       .",333,223,26,106,,
166,"یپ ے فی    س یبنئ)رئنیسالبک( السمآبد۔)رمد( (I-X) السمآبدامڈلوکسلافررگزل 209
ا   ا     ملٹ ک   ا   .                ا       .                    ا       .",224,43,15,13,,
167,"یپ ے فی    س یبنئ)رئنیسالبک( السمآبد۔)وعرت( (I-X) السمآبدامڈلوکسلافررگزل 210
ا   ا     ملٹ ک   ا   .                ا       .                     ا       .",97,48,7,6,,
168,"یپ ے فی    س یبنئ)رئنیسالبک( السمآبد۔)رتشمہک( (I-X) السمآبدامڈلوکسلافررگزل 211
ا   ا     ملٹ ک   ا   .                ا       .                  ا       .",151,36,13,8,,
169,"یپ ے فی    س یبنئ)رئنیسالبک( السمآبد۔)رمد( (I-X) السمآبدامڈلوکسلافررگزل 212
ا   ا     ملٹ ک   ا   .                ا       .                    ا       .",153,63,16,35,,
170,"یپ ے فی    س یبنئ)رئنیسالبک( السمآبد۔)وعرت( (I-X) السمآبدامڈلوکسلافررگزل 213
ا   ا     ملٹ ک   ا   .                ا       .                     ا       .",207,124,11,13,,
171,"یپ ے فی    س یبنئ)رئنیسالبک( السمآبد۔)رتشمہک( (I-X) السمآبدامڈلوکسلافررگزل 214
¸                                                     ¸ .",155,24,14,27,,
172,"امیہریبی۔)رمد(،(I-X) دعسارلامحندیہشامڈلوکسلافروبای 215
¸                                                                  ¸ .",130,45,8,66,,
173,"امیہریبی،االسمآب.د۔)وعرت( (I-X) دعسارلامحندیہشامڈلوکسلافروبای 216
ا  ا    ل              ا       .",94,29,2,73,,
174,"ی یرحبہیویوینریٹس، السمآبد۔)رمد( 217
ا  ا    ل              ا       .",188,72,35,17,,
175,"ی یرحبہیویوینریٹس، السمآبد۔)وعرت( 218
ا  ا    ل     ا       .                        ا       .",148,41,23,4,,
176,"ی ی/3، السمآبد۔)رتشمہک( (VI-X) السمآبدامڈلوکسلافررگزل 219
ا  ا    ل     ا       .                         ا       .",164,86,29,8,,
177,"ی ی/1، السمآبد۔)رمد( 2.IV( No) السمآبدامڈلوکسل 220
ا  ا    ل     ا       .                            ا       .",68,14,0,0,,
178,"ی ی/1، السمآبد۔)وعرت( 2.IV( No) السمآبدامڈلوکسل 221
ا       .                                 ا       .               ا ¸ .",73,48,2,0,,
179,"السمآبد۔)رتشمہک(،8/3-VI-X( F) السمآبدامڈلوکسلافروب ی 222
ا       .                             ا       .               ا ¸ .",309,43,21,11,,
180,"السمآبد۔)رمد(،8/3-VI-X( F) السمآبدامڈلوکسلافروب ی 223
ا       .                                ا       .               ا ¸ .",330,88,40,12,,
181,"السمآبد۔)وعرت(،8/3-VI-X( F) السمآبدامڈلوکسلافروب ی 224
ا       .                  ا       .             ا ¸ .",303,45,32,12,,
182,"السمآبد۔)رمد(،8/4-F السمآبدامڈلاکجلافروب ی 225
ا       .                     ا       .             ا ¸ .",212,50,33,9,,
