No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
61,"Islamabad Model School for Girls (I-X) Mohra Noor, Islamabad. (Male)",347,174,15,6,,
62,"Islamabad Model School for Girls (I-X) Mohra Noor, Islamabad. (Female)",306,120,15,9,,
63,"Islamabad Model School for Girls (I-X) Mohra Noor, Islamabad. (Male)",375,143,20,11,,
64,"Islamabad Model School for Girls (I-X) Mohra Noor, Islamabad. (Female)",236,94,12,4,,
65,"Vision Model School, Banigalla, Islamabad. (Male)",148,107,84,4,,
66,"Vision Model School, Banigalla, Islamabad. (Female)",149,65,60,3,,
67,"Shafqat Shaheed Model School for Boys (I-V) Dhoke Jerani, Islamabad. (Male)",321,271,101,25,,
68,"Shafqat Shaheed Model School for Boys (I-V) Dhoke Jerani, Islamabad. (Female)",294,241,74,26,,
69,"Islamabad Model School for Girls (I-V) Dhoke Jerani, Islamabad. (Combined)",338,310,193,46,,
70,"The Educators, Near Imran Khan Chowk, Banni Gala, Islamabad. (Male)",480,134,44,50,,
71,"The Educators, Near Imran Khan Chowk, Banni Gala, Islamabad. (Female)",422,91,17,7,,
72,"Islamabad Model School for Girls (I-VIII) Mandla, Islamabad.  (Male)",98,179,84,3,,
73,"Islamabad Model School for Girls (I-VIII) Mandla, Islamabad.  (Female)",87,147,79,2,,
74,"Tahir Shaheed Model School for Boys (I-X) Shahdara, Islamabad. (Male)",220,340,78,2,,
75,"Tahir Shaheed Model School for Boys (I-X) Shahdara, Islamabad. (Female)",202,268,57,3,,
76,"Islamabad Model School for Boys (I-V) New Mangial, Islamabad. (Male)",229,183,34,12,,
77,"Islamabad Model School for Boys (I-V) New Mangial, Islamabad. (Female)",158,148,22,4,,
78,"Islamabad Model School for Girls (I-V) Shahpur, Islamabad. (Male)",442,140,23,21,,
79,"Islamabad Model School for Girls (I-V) Shahpur, Islamabad. (Female)",338,91,13,24,,
80,"Punjab Commerce College (PCC) Satrameel, Main Murree Road, Phulgran, Islamaba",180,132,65,22,,
81,"Punjab Commerce College (PCC) Satrameel, Main Murree Road, Phulgran, Islamaba",136,116,43,15,,
82,"Islamabad Model School, (I-X) Chattar, Islamabad. (Male)",301,126,66,71,,
83,"Islamabad Model School, (I-X) Chattar, Islamabad. (Female)",244,123,58,70,,
84,"Islamabad Model School, (I-V) Kalran, Phulgran, Islamabad. (Combined)",293,220,81,25,,
85,"Islamabad Model School for Girls (I-X) Phulgran, Islamabad. (Combined)",326,186,94,10,,
86,"Ghazali Premier School (Jinnah Campus) Seri Chowk Mora Road, Phulgran, Islamaba",218,121,60,8,,
87,"Ghazali Premier School (Jinnah Campus) Seri Chowk Mora Road, Phulgran, Islamaba",161,109,26,4,,
88,"Pinnacles School System Spring Valley, Phulgran, Islamabad. (Combined)",431,148,11,15,,
89,"Shahzad Ejaz Model School for Boys (I-X) Phulgran, Islamabad. (Male)",243,102,47,7,,
90,"Shahzad Ejaz Model School for Boys (I-X) Phulgran, Islamabad. (Female)",217,108,27,2,,
91,"The Arqam School (Muhammah Campus) Mohallah Abbasiabad, Simly Dam Road, Is",416,174,12,24,,
92,"The Arqam School (Muhammah Campus) Mohallah Abbasiabad, Simly Dam Road, Is",275,90,8,11,,
93,"Islamabad Model School for Boys (IVIII)Satrameel, Islamabad.(Combined)",421,166,213,28,,
94,"Islamabad Model School for Boys (I-V) Athal, Islamabad. (Male)",398,277,32,21,,
95,"Islamabad Model School for Boys (I-V) Athal, Islamabad. (Female)",298,182,28,18,,
96,"Islamabad Model School for Girls, (I-VIII) Bobri, Islamabad. (Male)",97,137,87,54,,
97,"Islamabad Model School for Girls, (I-VIII) Bobri, Islamabad. (Female)",84,141,62,27,,
98,"Islamabad Model College for Girls, (VI-XII) Maira Begwal, Islamabad. (Male)",408,152,31,3,,
99,"Islamabad Model College for Girls, (VI-XII) Maira Begwal, Islamabad. (Female)",377,149,30,4,,
100,"Islamabad Model College for Girls, (VI-XII) Maira Begwal, Islamabad. (Combined)",180,32,23,2,,
101,"Islamabad Model School for Girls (I-V) Pind Begwal Dana, Islamabad. (Combined)",291,100,16,65,,
102,"Islamabad Model School for Girls (I-V) Pind Begwal Dana, Islamabad. (Male)",236,63,50,41,,
103,"Islamabad Model School for Girls (I-V) Pind Begwal Dana, Islamabad. (Female)",217,73,29,47,,
104,"Zeeshan Shaheed Model College for Boys, Pind Begwal, Islamabad. (Combined)",255,156,43,12,,
105,"Zeeshan Shaheed Model College for Boys, Pind Begwal, Islamabad. (Male)",416,130,75,22,,
106,"Zeeshan Shaheed Model College for Boys, Pind Begwal, Islamabad. (Female)",376,115,50,15,,
107,"Islamabad Model School for Boys (I-VIII) Jandala, Islamabad. (Combined)",215,282,4,15,,
108,"Islamabad Model School for Boys (I-V) Sihali, Islamabad. (Combined)",353,290,15,6,,
109,"Islamabad Model School for Boys (I-VIII) Pehont, Islamabad. (Combined)",66,85,8,4,,
110,"Islamabad Model School for Boys (I-X) Tumair, Islamabad. (Male)",237,239,12,58,,
111,"Islamabad Model School for Boys (I-X) Tumair, Islamabad. (Female)",191,168,11,34,,
112,"Islamabad Model School for Boys (I-V) Mohra Tumair, Islamabad. (Male)",324,355,22,20,,
113,"Islamabad Model School for Boys (I-V) Mohra Tumair, Islamabad. (Female)",251,250,17,8,,
114,"Islamabad Model School for Boys (I-VIII) Pehont, Islamabad. (Combined)",363,305,26,41,,
115,"Islamabad Model School for Boys (I-VIII) Pehont, Islamabad. (Male)",200,187,56,11,,
