No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
280,"Islambad Model  School (I-V) G-6/1-4, Near Madina Masjid, Islamabad. (Female)",324,119,33,18,,
281,"Islamabad Model School, Masjid Oullah (I-V) G-6/1-2, Islamabad. (Male)",363,148,63,27,,
282,"Islamabad Model School, Masjid Oullah (I-V) G-6/1-2, Islamabad. (Female)",324,83,24,14,,
283,"Islamabad Model School, Masjid Oullah (I-V) G-6/1-2, Islamabad. (Male)",446,134,160,42,,
284,"Islamabad Model School, Masjid Oullah (I-V) G-6/1-2, Islamabad. (Female)",388,111,92,26,,
285,"Islamabad Model School (I-V), G-6/1-3, Ghosia Masjid, Islamabad. (Male)",416,198,56,23,,
286,"Islamabad Model School (I-V), G-6/1-3, Ghosia Masjid, Islamabad. (Female)",345,162,37,20,,
287,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2 (Male)",499,194,44,41,,
288,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2 (Female)",388,110,27,28,,
289,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2, Islamabad. (Comb",265,109,23,18,,
290,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2, Islamabad. (Male",222,67,79,63,,
291,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2, Islamabad. (Fema",153,42,46,49,,
292,"Islamabad Model School (I-V),NO.2, G-7/2 Islamabad (Male)",118,48,205,18,,
293,"Islamabad Model School (I-V),NO.2, G-7/2 Islamabad (Female)",65,32,131,18,,
294,"Islamabad Model School for Girls (VI-X), G-7/2 (Male)",209,88,103,29,,
295,"Islamabad Model School for Girls (VI-X), G-7/2 (Female)",160,59,70,24,,
296,"Islamabad Model School No.1 (I-V) G-7/2, Islamabad. (Combined)",171,68,8,27,,
297,"Islamabad Model School No.1 (I-V) G-7/2, Islamabad. (Male)",397,157,62,31,,
298,"Islamabad Model School No.1 (I-V) G-7/2, Islamabad. (Female)",290,101,31,23,,
299,"Islamabad Model School for Girls (I-VIII) G-7/3-2 , Islamabad. (Combined)",256,91,46,17,,
300,"Islamabad Model School for Girls (I-VIII) G-7/3-2 , Islamabad. (Male)",195,125,104,15,,
301,"Islamabad Model School for Girls (I-VIII) G-7/3-2 , Islamabad. (Female)",137,55,109,11,,
302,"Islamabad Model  School (I-V), G-7/3-3, Near Golden Market, Islamabad. (Male)",476,145,50,33,,
303,"Islamabad Model  School (I-V), G-7/3-3, Near Golden Market, Islamabad.. (Female)",345,94,35,16,,
304,Islamabad Model School (I-V) G-7/3-1 Ghulshan Market (Combined),241,80,32,19,,
305,"Islamabad Model  School (I-V), G-7/3-3, Near Golden Market, Islamabad. (Male)",343,161,43,16,,
306,"Islamabad Model  School (I-V), G-7/3-3, Near Golden Market, Islamabad. (Female)",316,95,23,1,,
307,"Khushnood Zeb Shaheed Model School For Boys (VI-X), G-7/3-1 (Male)",415,163,71,39,,
308,"Khushnood Zeb Shaheed Model School For Boys (VI-X), G-7/3-1 (Female)",315,119,35,19,,
309,"Khushnood Zeb Shaheed Model School For Boys (VI-X), G-7/3-1 (Male)",301,166,49,33,,
310,"Khushnood Zeb Shaheed Model School For Boys (VI-X), G-7/3-1 (Female)",211,96,24,20,,
311,"Islamabad Model School for Girls No-5 (I-VIII) G-7/3-4,Islamabad. (Male)",378,160,77,33,,
312,"Islamabad Model School for Girls No-5 (I-VIII) G-7/3-4,Islamabad. (Female)",257,89,41,14,,
313,Tanveer Hussain Shaheed Model College For Boys (VI-XII) G-7/4 (Male),404,172,68,19,,
314,Tanveer Hussain Shaheed Model College For Boys (VI-XII) G-7/4 (Female),323,125,42,16,,
315,Islamabad Model School (I-V) G-7/4 (Male),375,138,27,50,,
316,Islamabad Model School (I-V) G-7/4 (Female),267,88,16,29,,
317,Tanveer Hussain Shaheed Model College for Boys (VI-XII) G-7/4 (Combined),240,64,14,23,,
318,"Islamabad Model School for Girls (VI-X), G-7/2 (Male)",209,109,55,10,,
319,"Islamabad Model School for Girls (VI-X), G-7/2 (Female)",153,68,42,8,,
320,Tanveer Hussain Shaheed Model College for Boys (VI-XII) G-7/4 (Male),330,116,27,23,,
321,Tanveer Hussain Shaheed Model College for Boys (VI-XII) G-7/4 (Female),205,59,12,8,,
322,"Islamabad Model School For Girls  (VI-X) G-7/ 1, Islamabad (Male)",330,124,46,29,,
323,"Islamabad Model School For Girls  (VI-X) G-7/ 1, Islamabad (Female)",265,93,26,19,,
324,"Islamabad Model School (I-V) G-7/1, Islamabad (Male)",449,139,37,20,,
325,"Islamabad Model School (I-V) G-7/1, Islamabad (Female)",343,85,12,23,,
326,"Women Welfare Centre, G-7/1, Islamabad. (Male)",186,79,170,13,,
327,"Women Welfare Centre, G-7/1, Islamabad. (Female)",113,53,121,4,,
328,"Islamabad Model School (I-V) No.1, G-8/2, Islamabad. (Male)",401,125,25,48,,
329,"Islamabad Model School (I-V) No.1, G-8/2, Islamabad. (Female)",331,68,13,32,,
330,"Islamabad Model School (I-V) No.1, G-8/2, Islamabad. (Male)",450,176,17,71,,
331,"Islamabad Model School (I-V) No.1 G-8/2, Islamabad. (Female)",430,129,12,50,,
332,"College of Medical Technology (CMT) PIMS, G-8/3, Islamabad. (Male)",273,136,16,47,,
333,"College of Medical Technology (CMT) PIMS, G-8/3, Islamabad. (Female)",204,83,11,16,,
334,"Islamabad Model School (I-V) No-1, G-8/4, Islamabad. (Male)",403,159,24,49,,
335,"Islamabad Model School (I-V) No-1, G-8/4, Islamabad. (Female)",310,93,15,21,,
336,"Islamabad Model College for Girls (VI-XII) G-8/4, Islamabad (Male)",241,134,73,20,,
337,"Islamabad Model College for Girls (VI-XII) G-8/4, Islamabad (Female)",145,73,74,13,,
338,"Islamabad Model School (I-V) No.2, G-8/4, Islamabad. (Combined)",270,156,52,21,,
339,"Usman Sadiq Shaheed Model School for Boys, G-8/4 (VI-X), Islamabad. (Male)",266,169,13,38,,
340,"Usman Sadiq Shaheed Model School for Boys, G-8/4 (VI-X), Islamabad. (Female)",190,103,12,27,,
341,"Shamowail Tariq Shaheed Model School for Boys (VI-X), G-8/1. (Male)",157,132,200,94,,
342,"Shamowail Tariq Shaheed Model School for Boys (VI-X), G-8/1. (Female)",102,87,160,63,,
343,"Pakistan Institute of Education G-8/1, Islamabad.  (Male)",219,80,35,22,,
344,"Pakistan Institute of Education G-8/1, Islamabad. (Female)",174,55,33,14,,
345,"Islamabad Model School No-3 (I-V), G-8/1, Islamabad. (Male)",243,117,59,56,,
346,"Islamabad Model School No-3 (I-V), G-8/1, Islamabad. (Female)",206,85,41,46,,
347,Islamabad Model School  (I-V) No.2 G-8/1 (Male),288,97,17,28,,
348,Islamabad Model School  (I-V) No.2 G-8/1 (Female),180,64,12,20,,
349,"Islamabad Model School (I-V) No.1, G-8/1. (Male)",294,188,59,45,,
350,"Islamabad Model School (I-V) No.1, G-8/1. (Female)",286,123,40,30,,
351,"Islamabad Model School, (I-V), AIOU, Colony H-8 (Combined)",353,82,11,83,,
352,"Islamabad Model College For boys H-9, Islamabad. (Combined)",170,128,78,49,,
353,"lslamabad Model College for Girls I-8/2 , Islamabad (Male)",454,147,10,57,,
354,"lslamabad Model College for Girls I-8/2 , Islamabad (Female)",504,92,7,53,,
355,"Global System of Integrated Studies, (GSIS) House No. 09, Sahib Zada Abdul Qayoom",339,83,9,40,,
356,"Global System of Integrated Studies, (GSIS) House No. 424-A, St No-36 (Primary Sec",336,49,6,34,,
357,"Beaconhouse School System, Plot No. 22-B, Sahibzada Abdul Qayyum, Road, Kinder",174,71,7,16,,
358,"Beaconhouse School System, Plot No. 22-B, Sahibzada Abdul Qayyum, Road, Kinder",211,54,9,16,,
359,"Islamabad Model College for Boys I-8/3, Islamabad. (Male)",400,152,7,50,,
360,"Islamabad Model College for Boys I-8/3 , Islamabad. (Female)",379,96,4,45,,
361,"Islamabad Model College for Boys I-8/3 , Islamabad (Male)",270,78,6,39,,
362,"Islamabad Model College for Boys I-8/3 , Islamabad (Female)",266,52,4,39,,
363,"International Islamic University Islamabad (IIUI) House No. FA-68, Street No. 94, Sec",281,90,12,39,,
364,"International Islamic University Islamabad (IIUI) House No. FA-68, Street No. 94, Sec",228,43,5,38,,
365,"Islamabad Model College for Girls, Street No-1, Sector I-8/4, Islamabad. (Male)",337,129,12,22,,
366,"Islamabad Model College for Girls, Street No-1, Sector I-8/4, Islamabad. (Female)",382,72,9,17,,
367,"Islamabad Model College for Girls, Street No-1, Sector I-8/4, Islamabad. (Male)",276,128,16,31,,
368,"Islamabad Model College for Girls, Street No-1, Sector I-8/4, Islamabad. (Female)",302,72,8,57,,
369,"Islamabad Model School  for Girls (VI-X) I-8/1, Islamabad  (Male)",208,84,5,22,,
370,"Islamabad Model School  for Girls (VI-X) I-8/1 , Islamabad  (Female)",203,38,1,32,,
371,"Islamabad Model School for boys (I-X) I-8/1 , Islamabad (Male)",369,115,25,71,,
372,"Islamabad Model School for boys (I-X) I-8/1, Islamabad  (Female)",301,98,10,51,,
373,"Islamabad Model School (I-V) I-8/1 , Islamabad (Male)",287,96,18,76,,
374,"Islamabad Model School (I-V) I-8/1 , Islamabad  (Female)",0,0,0,0,,
375,"Islamabad Model College for Girls (VI-XII) Sector I-9/1, (Junior Branch) Islamabad. (C",285,147,27,19,,
376,"Usama Bin Tariq Shaheed Model School for Boys (VI-X), I-9/4, No.1 (Male)",418,150,25,57,,
377,"Usama Bin Tariq Shaheed Model School for Boys (VI-X), I-9/4, No.1 (Female)",298,103,20,26,,
378,"Maher Ali Azam Shaheed Model School for Boys (VI-X), No.2, I-9/4, Islamabad. (Mal",262,132,29,41,,
379,"Maher Ali Azam Shaheed Model School for Boys (VI-X), No.2, I-9/4, Islamabad. (Fem",403,161,20,58,,
380,Islamabad Model School For Girls (VI-X)  I-9/4 (Male),403,161,20,58,,
381,Islamabad Model School For Girls (VI-X)  I-9/4 (Female),385,103,12,50,,
382,"Islamabad Model College for Girls (VI-XII) Sector I-9/1, Islamabad. (Male)",169,81,5,24,,
383,"Islamabad Model College for Girls, (VI-XII), Sector I-9/1, Islamabad.  (Female)",168,63,5,11,,
384,"Islamabad Model College For Girls (VI-XII) I-9/1, Islamabad. (Male)",422,181,23,56,,
385,"Islamabad Model College For Girls (VI-XII) I-9/1, Islamabad. (Female)",403,105,9,37,,
386,"Islamabad Model School (I-V), No-2, I-9/1, Islamabad. (Male)",255,198,99,23,,
387,"Islamabad Model School (I-V), No-2, I-9/1, Islamabad. (Female)",214,125,66,14,,
