No,Name,PTI-IND,MQM-P,PPP,Total Votes,Filename
139,gul shah bukhari ggls,181,93,13,,
140,ggls gul shah bukhari,93,37,8,,
141,islamiya abbasia p2,104,68,22,,
142,munciple dispencery bakra mandi p1,173,113,104,,
143,rabia,103,116,87,,
144,munciple dispencery bakra mandi p3 m,227,286,7,,
145,gps bakra mandi,120,42,17,,
146,leather training centre,313,255,36,,
147,leather training centre p2 male,163,248,26,,
148,gps seth hafiz p2 female,134,79,18,,
149,public school firdous colony,206,65,146,,
150,al razi liaquat colony,94,11,71,,
151,tent muhammadi town firdous colony male,236,243,17,,
152,gbps liaquat colony gound 1,266,179,43,,
153,office of the sdo wapda liaquat colony,138,56,28,,
154,idea grammer usmanabad,243,240,22,,
155,gghs bakra mandi,125,76,9,,
156,creative school usmanabad,220,203,16,,
157,quresh p1 female,208,168,31,,
158,golden star model hiugh school,328,214,40,,
159,illyasabad siddiqui hospital,172,168,12,,
160,illyasabad siddiqui hospital p1 male,215,217,8,,
161,right way muslim,123,80,43,,
162,watan educational rehman town,130,78,22,,
163,nanak bhatti,194,88,84,,
164,sardar khan p2,264,200,31,,
165,haji nanak,155,86,23,,
166,sardar khan colony p1,187,92,55,,
167,gmps anjum arain female,104,201,23,,
168,ggps ghousia,194,247,11,,
169,gps anjum arain p1,71,118,10,,
170,ggps ghousia p1,262,509,25,,
171,anjuman arain p2 female,104,201,23,,
172,zainabul islam,96,202,15,,
173,ghs mir nabi town,85,140,15,,
174,ghs zeenat ul islam p2 m,115,310,108,,
175,mono technical college p2 m,272,358,34,,
176,mono technical p4,102,160,18,,
177,warsia muslim,107,87,23,,
178,warsia muslim talab no 2 p2,159,74,24,,
179,vishan nagar,222,130,265,,
180,office of the nazim uc 13,226,145,130,,
181,Blue sky elementory,382,148,26,,
182,government college afandi town p2,246,49,15,,
183,ghs millatabad isl,197,195,156,,
184,gps islamabad p1 female,98,75,87,,
185,ghs millatbad isl p2 m,230,303,39,,
186,ghs millatabad isl p3 m,77,185,106,,
187,gps isl p2 f,45,85,0,,
188,ggps tando thoro male,45,30,824,,
189,bps boys tando thoro female,26,7,394,,
190,gmps mirza muhallah male,156,227,54,,
191,aisha elementory school mirza muhallah p1 female,58,104,25,,
192,ansari charitable hospital,121,119,34,,
193,ghs majeed darbari p1 male,139,322,25,,
194,gps mirza hyder kaleech baigh,218,376,16,,
195,gps mirza hyder kaleech baig paretabad female,100,131,15,,
196,fire brigade hall paretabad,211,215,36,,
197,ali school,107,89,22,,
198,nazeer hussain hospital,71,93,131,,
199,muslim town gbps,240,246,20,,
200,khursheed begum high school,168,150,148,,
201,nazeer hussain hospital p2,125,368,59,,
202,nazeer hussain p3,205,247,34,,
203,khalej baig p2,139,79,20,,
204,mirza qaleej baig,219,198,165,,
205,mirza qaleej baig part 2 female,96,71,109,,
206,govt girls primary school iqbalabad,235,211,117,,
207,zubaidah high school,48,228,207,,
208,zubaidah female pvt,19,146,163,,
209,GPS Aliiabad,248,66,229,,
210,GPS Aliiabad,68,85,439,,
211,sahafi colony,95,2,603,,
212,filter plant paretabad,15,5,486,,
213,Govt college kali mori p1 male,103,6,145,,
214,Govt College uni kali mori p1,55,2,74,,
215,Govt college university p3,137,9,231,,
216,govt college uni p2,40,4,397,,
217,emergency opd district hosp paretabad male,204,194,0,,
218,lalu lashari,150,217,261,,
219,ms office opd paretabad p1 f,106,64,61,,
220,ghouri children academy f,78,76,195,,
221,gps qaim ghangra,18,1,692,,
222,gps began ghanghra female,3,1,644,,
223,govt primary school khuda baksh,13,7,751,,
