No,Name,PTI-IND,PML-N,PPP,TLP,Total Votes,Filename
95,N/A,216,426,10,21,,
96,Govt Se College (Male 1),462,186,12,15,,
97,Govt Se College (Female 1),374,144,18,6,,
98,Govt. Primery School Basti Derwesha,250,194,37,25,,
99,Govt Model Public School Judgewali (Female 1),134,112,38,6,,
100,Stadium Bwp (Male 1),524,199,21,23,,
101,Stadium Bwp (Female 1),434,131,20,14,,
102,Govt Sadiq Women University Bwp (Male 1),433,146,18,27,,
103,Govt Sadiq Women University Bwp (Female 1),403,125,16,22,,
104,Govt Comprehensive High School Bwp,605,279,15,30,,
105,Govt Comprehensive Girls High School Bwp,487,212,13,29,,
106,Mc Girls Primery School,500,246,41,21,,
107,Govt Boys Primery School Javed Colony,449,363,18,27,,
108,Falahi Markaz Jafri Town,380,350,62,55,,
109,Gps Basti Ghous Bakhsh,251,210,85,2,,
110,Residency Cevil Defense,296,474,14,18,,
111,Govt College Of Elementry Teachers Training Boys,453,125,11,6,,
112,Govt College Of Elementry Teachers Trainoing Women,437,106,14,3,,
113,Govt Girls Higher School Model Town A,465,144,40,4,,
114,Govt Girls Higher School Model Town A,444,96,34,5,,
115,Fg College,229,81,143,6,,
116,Gps Malok Shah,376,136,32,7,,
117,Govt Ghs Basti Riddan,695,141,57,12,,
118,Govt Ghs Basti Riddan Boys,503,265,80,40,,
119,Govt Ghs Basti Riddan Female 2,284,280,177,21,,
120,Govt Ghs Basti Riddan Boys 1,478,281,43,47,,
121,Govt E/S Basti Malok Shah,221,114,48,22,,
122,Govt Boys Primery School Mamoonabad,349,226,33,45,,
123,Canyt Public Girls High School Dera Izzat,213,140,57,30,,
124,Govt E/S Dera Izzat Male,285,143,26,21,,
125,Govt E/S Dera Izzat Female,174,61,53,17,,
126,Office Of Director Live Stock,343,123,13,32,,
127,Govt Cvh Near Sabzi Mandi,273,81,13,21,,
128,Craft Bazar Spcial Welfare (Male 1),357,186,16,84,,
129,Govt. Cevil Veternary (Female 1),262,120,18,55,,
130,Govt. Girls High School Imam Shah,354,266,23,15,,
131,Govt School Thana Kotwal,288,135,16,6,,
132,Govt. Girls High School Imam Shah Combined,424,179,31,11,,
