No,Name,PTI-IND,PML-N,Total Votes,Filename
1,"1 - Government High School Buchal Khurd
(Male)-I",313,118,,
2,"2 - Government Girls Higher Secondary School
Buchal Khurd (Female)-I",426,123,,
3,"3 - Government Boys Primary School Sardhi
(Male)-I",241,198,,
4,"4 - Government Girls Primary School Sardhi
(Female)-I",266,175,,
5,"5 - Government Boys Primary School Gahi
(Male)-I",421,110,,
6,"6 - Government Girls High School Gahi
(Female)-I",495,131,,
7,"7 - Government Boys Elementary School
Guffanwala (Male)-I",278,278,,
8,"8 - Government Girls High School Guffanwala
(Female)-I",373,358,,
9,"9 - Government Boys Primary School Ransial
(Male)-I",197,224,,
10,"10 - Government Girls Primary School Ransial
(Female)-I",190,268,,
11,"11 - Government Boys Primary School Chak
Misri (Combined)-I",355,409,,
12,"12 - Government Primary School Manak Pur
(Combined)-I",368,26,,
13,"13 - Government Boys Primary School Miani
(Combined)-I",332,607,,
15,"15 - Government Elementary School Pahar
Khan (Combined)-I",150,393,,
16,"16 - Government Boys Elementary School
Dharukana (Male)-I",158,172,,
17,"17 - Government Girls Elementary School
Dharukana (Female)-I",190,207,,
18,"18 - Government Boys Elementary School
Dharukana (Combined)-I",359,402,,
19,"19 - Government Boys High School Buchal
Kallan (Male)-I",337,255,,
20,"20 - Government Boys High School Buchal
Kallan (Female)-I",382,265,,
21,"21 - Government Girls Higher Secondary
School Buchal Kallan (Male)-I",254,125,,
22,"22 - Government Girls Higher Secondary
School Buchal Kallan (Female)-I",260,142,,
23,23 - Veterinary Hospital Buchal Kallan (Male)-I,326,207,,
24,"24 - Government Girls Primary School East
No.2 Buchal Kallan (Female)-I",362,218,,
25,"25 - Government Girls Primary School No.4
Adda Mohalla Buchal Kallan (Male)-I",255,189,,
26,"26 - Government Primary School No. 2 Buchal
Kallan (Female)-I",311,193,,
27,"27 - Government Girls High School Makhial
(Male)-I",195,222,,
28,"28 - Government Primary School Makhial
(Female)-I",202,268,,
30,"30 - Government Girls High School Noor pur
(Male)-I",303,266,,
31,"31 - Government Girls High School Noor pur
(Female)-I",260,251,,
32,"32 - Government Primary School Bhall (Male)-
I",266,362,,
33,"33 - Government Girls Primary School Bhall
(Female)-I",209,440,,
34,"34 - Government Girls Primary School Bhalial
(Combined)-I",553,384,,
35,"35 - Government Primary School Matan Kalan
(Combined)-I",123,155,,
36,"36 - Government Boys Elementary School
Matton Khurd (Combined)-I",212,483,,
37,"37 - Government Boys Elementary School
Laphi (Combined)-I",280,454,,
38,"38 - Government Boys Primary School Sar
Kallan (Male)-I",134,269,,
39,"39 - Government Girls High School Sar Kallan
(Female)-II",146,257,,
40,40 - Basic Health Unit Sar Kallan (Male)-I,213,140,,
41,"41 - Government Girls High School Sar Kallan
(Female)-II",235,131,,
42,"42 - Government Girls Elementary School
Nagri (Combined)-I",221,192,,
43,"43 - Government Primary School Kharli
(Combined)-I",109,410,,
44,44 - Government High School Sethi (Male)-I,168,284,,
45,"45 - Government Boys Primary School Dhok
Dand (Combined)-I",92,214,,
46,46 - Government High School Sethi (Female)-I,150,335,,
47,"47 - Government Girls Elementary School
Sehti (Combined)-I",245,451,,
48,"48 - Government Primary School Talyala
(Combined)-I",72,312,,
49,"49 - Government High School Thoa Bahadur
(Male)-I",231,235,,
51,"51 - Government Girls High School Thoa
Bahadur (Male)-I",212,143,,
52,"52 - Government Girls High School Thoa
Bahadur (Female)-I",190,132,,
53,"53 - Government Girls Primary School Kalo Jao
(Combined)-I",324,269,,
54,"54 - Government Primary School Hastal
(Combined)-I",202,242,,
55,"55 - Government High School Balkassar
(Primary Portion) (Male)-I",328,215,,
56,"56 - Civil Veterinary Hospital Balkassar
(Female)-I",360,163,,
57,"57 - Government High School Balkassar
(Combined)-I",432,225,,
58,"58 - Government Girls Primary School No.2
Balkassar (Male)-I",211,309,,
59,"59 - Government Girls High School Balkassar
(Female)-I",256,297,,
60,"60 - Government Elementary School Pipli
(Combined)-I",276,368,,
61,"61 - Government Model Primary School
Campus No.2 Dhoke Sial (Combined)-I",375,204,,
62,62 - Government High School Dharabi (Male)-I,248,311,,
63,"63 - Government High School Dharabi
(Female)-I",198,299,,
64,"64 - Government Girls High School Dharabi
(Male)-I",159,292,,
65,65 - Basic Health Unit Dharabi (Female)-I,133,239,,
66,"66 - Government Girls Community Model
School Bikhari Kalan (Male)-I",275,198,,
67,"67 - Government Girls Elementary School
Bikhari Kalan (Female)-I",275,173,,
68,"68 - Government High School Bikhari Kalan
(Male)-I",335,98,,
69,"69 - Government High School Bikhari Kalan
(Female)-II",373,81,,
70,"70 - Government Primary School Dhok Mohri
(Combined)-II",500,216,,
71,"71 - Government High school Sidhar
(Combined)-II",404,286,,
72,"72 - Government High school Sidhar
(Combined)-II",285,294,,
73,73 - Government Primary School Mari (Male)-I,516,752,,
74,"74 - Government Girls High School Mari
(Female)-I",266,398,,
75,"75 - Government High School Karsal (Primary
Portion) (Male)-I",462,112,,
76,76 - Office of Union Council Karsal (Female)-I,524,65,,
77,"77 - Government High School Karsal
(Combined)-I",600,168,,
78,"78 - Government Girls High School
Karsal(Dhok Karsal) (Combined)-I",689,204,,
79,79 - Government High school Chawli (Male)-I,235,420,,
80,"80 - Government High school Chawli (Female)-
I",281,373,,
81,"81 - Government Girls High School Chawli
(Combined)-I",104,221,,
82,"82 - Government Boys Primary School Dheri
Anwal (Combined)-I",109,134,,
83,"83 - Government Girls High School Bhagwal
(Male)-I",371,220,,
84,"84 - Government Higher Secondary School
Bhagwal (Female)-I",372,201,,
85,"85 - Government Higher Secondary School
Bhagwal (Combined)-I",448,271,,
86,"86 - Government Girls Elementary School Kot
Choudhrian (Male)-I",156,523,,
87,"87 - Government Girls Elementary School Kot
Choudhrian (Female)-I",223,464,,
88,"88 - Government Model Elementary School
Moolwal Campus No. 2 (Male)-I",102,211,,
89,"89 - Government Model Elementary School
Moolwal Campus No. 1 (Female)-I",132,245,,
90,"90 - Governmetn Primary School Nain Sukh
(Combined)-I",120,174,,
91,"91 - Government High School Roopwal (Male)-
I",238,270,,
92,"92 - Government High School Roopwal
(Female)-I",290,297,,
