No,Name,IND,PPP,TLP,PML-N,PTI-IND,Total Votes,Filename
145,Polling Station No. 145,13,12,60,152,299,,
146,Polling Station No. 146,15,18,101,193,529,,
147,Polling Station No. 147,16,10,176,156,568,,
148,Polling Station No. 148,24,17,123,136,369,,
149,Polling Station No. 149,15,8,95,81,324,,
150,Polling Station No. 150,17,14,67,60,259,,
151,Polling Station No. 151,37,14,264,187,493,,
152,Polling Station No. 152,44,14,151,108,348,,
153,Polling Station No. 153,16,9,100,101,324,,
154,Polling Station No. 154,25,11,82,77,269,,
155,Polling Station No. 155,14,14,114,148,447,,
156,Polling Station No. 156,8,16,52,121,362,,
157,Polling Station No. 157,6,11,66,94,249,,
158,Polling Station No. 158,8,4,34,70,217,,
159,Polling Station No. 159,9,10,100,53,269,,
160,Polling Station No. 160,5,10,62,42,179,,
161,Polling Station No. 161,36,11,244,217,372,,
162,Polling Station No. 162,69,13,135,198,247,,
163,Polling Station No. 163,0,0,0,0,523,,
164,Polling Station No. 164,24,37,137,129,375,,
165,Polling Station No. 165,18,17,77,202,456,,
166,Polling Station No. 166,9,11,35,164,466,,
167,Polling Station No. 167,30,25,52,306,490,,
168,Polling Station No. 168,16,31,28,260,400,,
169,Polling Station No. 169,2,19,8,149,467,,
170,Polling Station No. 170,12,19,6,105,545,,
171,Polling Station No. 171,4,13,11,93,123,,
172,Polling Station No. 172,5,10,5,58,110,,
173,Polling Station No. 173,4,9,74,116,269,,
174,Polling Station No. 174,1,23,79,96,242,,
175,Polling Station No. 175,3,17,36,66,173,,
176,Polling Station No. 176,3,42,160,102,405,,
178,Polling Station No. 178,4,5,12,168,276,,
179,Polling Station No. 179,1,4,6,93,188,,
180,Polling Station No. 180,3,1,11,89,119,,
182,Polling Station No. 182,2,4,8,47,60,,
183,Polling Station No. 183,2,4,20,117,128,,
184,Polling Station No. 184,95,4,432,125,191,,
185,Polling Station No. 185,78,13,310,91,128,,
186,Polling Station No. 186,3,1,53,75,136,,
187,Polling Station No. 187,4,1,35,37,106,,
188,Polling Station No. 188,4,8,50,126,234,,
189,Polling Station No. 189,8,12,98,220,431,,
190,Polling Station No. 190,3,5,80,178,243,,
191,Polling Station No. 191,73,1,74,288,344,,
192,Polling Station No. 192,20,6,36,145,227,,
194,Polling Station No. 194,15,6,115,197,530,,
195,Polling Station No. 195,20,19,45,124,361,,
196,Polling Station No. 196,7,8,46,165,319,,
197,Polling Station No. 197,63,10,74,336,485,,
198,Polling Station No. 198,16,12,11,96,210,,
199,Polling Station No. 199,45,7,35,257,446,,
200,Polling Station No. 200,14,5,15,169,200,,
201,Polling Station No. 201,15,6,48,239,297,,
202,Polling Station No. 202,35,14,15,154,297,,
203,Polling Station No. 203,14,5,15,169,200,,
204,Polling Station No. 204,32,11,131,289,566,,
205,Polling Station No. 205,18,17,40,179,302,,
206,Polling Station No. 206,5,4,42,43,110,,
207,Polling Station No. 207,1,2,19,38,70,,
208,Polling Station No. 208,15,7,104,141,371,,
210,Polling Station No. 210,1,2,42,248,138,,
211,Polling Station No. 211,2,1,17,133,64,,
212,Polling Station No. 212,9,7,51,88,164,,
213,Polling Station No. 213,45,9,18,105,341,,
215,Polling Station No. 215,18,5,2,49,109,,
216,Polling Station No. 216,13,6,3,90,173,,
217,Polling Station No. 217,5,1,0,27,115,,
218,Polling Station No. 218,33,4,14,122,258,,
219,Polling Station No. 219,75,1,8,83,171,,
220,Polling Station No. 220,31,1,3,14,88,,
221,Polling Station No. 221,64,4,12,122,260,,
222,Polling Station No. 222,24,4,3,33,83,,
223,Polling Station No. 223,32,8,6,103,267,,
225,Polling Station No. 225,27,0,14,234,433,,
227,Polling Station No. 227,294,5,91,280,190,,
228,Polling Station No. 228,207,11,68,224,198,,
229,Polling Station No. 229,208,1,46,111,100,,
230,Polling Station No. 230,140,10,29,78,96,,
231,Polling Station No. 231,22,2,5,229,293,,
232,Polling Station No. 232,14,8,3,168,195,,
233,Polling Station No. 233,10,3,10,285,330,,
234,Polling Station No. 234,13,4,7,203,229,,
235,Polling Station No. 235,16,0,3,220,228,,
236,Polling Station No. 236,12,6,4,156,156,,
237,Polling Station No. 237,18,2,15,213,345,,
238,Polling Station No. 238,11,2,11,173,274,,
239,Polling Station No. 239,14,1,11,146,194,,
240,Polling Station No. 240,13,4,10,111,151,,
241,Polling Station No. 241,18,2,21,149,310,,
242,Polling Station No. 242,7,4,26,282,479,,
243,Polling Station No. 243,32,19,33,453,227,,
